"","Building Address","Year Built"
"194","220 JACKSON ST",1911
"195","2400 3RD ST",1937
"196","505 HOWARD ST",2014
"197","1550 BRYANT ST",1915
"198","1035 HOWARD ST",1930
"199","50 CALIFORNIA ST",1971
"200","2500 18TH ST",1925
"201","251 FRONT ST",1911
"202","51 3RD ST",1970
"203","2 CALIFORNIA ST",1908
"204","2165 MISSION ST",1922
"205","1215 MARKET ST",1911
"206","278 POST ST",1910
"207","228 POST ST",1909
"208","245 VALENCIA ST",1995
"209","126 POST ST",1909
"210","244 JACKSON ST",1913
"211","256 SUTTER ST",1911
"212","119 ELLIS ST",1907
"213","365 VERMONT ST",1984
"214","450 PACIFIC AVE",1906
"215","2598 TAYLOR ST",1986
"216","77 NEW MONTGOMERY ST",1907
"217","2186 GEARY BLVD",1984
"218","133 KEARNY ST",1910
"219","150 OAK ST",1948
"220","141 COLUMBUS AVE",1905
"221","3075 17TH ST",1923
"222","330 ELLIS ST",1930
"223","832 FOLSOM ST",1986
"224","45 POWELL ST",1909
"225","295 BAY ST",1968
"226","530 5TH ST",1925
"227","601 MINNESOTA ST",1937
"228","2000 MCKINNON AVE",1940
"229","240 7TH ST",1955
"230","550 MONTGOMERY ST",1931
"231","1407 9TH AVE",1914
"232","945 FRONT ST",1955
"233","300 DE HARO ST",1984
"234","711 VAN NESS AVE",1984
"235","1881 POST ST",1967
"236","525 BRANNAN ST",1917
"237","2901 PACIFIC AVE",1907
"238","1801 VAN NESS AVE",1920
"239","555 MISSION ST",2008
"240","17 GRANT AVE",1909
"241","990 COLUMBUS AVE",1915
"242","900 7TH ST",1974
"243","146 GEARY ST",1907
"244","4444 GEARY BLVD",1915
"245","439 STEVENSON ST",1924
"246","275 5TH ST",1965
"247","390 BAY SHORE BLVD",1937
"248","182 2ND ST",1909
"249","300 CLAY ST",1967
"250","334 BRANNAN ST",1929
"251","350 MISSION ST",1923
"252","55 GREEN ST",1984
"253","156 2ND ST",1908
"254","875 STEVENSON ST",1975
"255","728 PACIFIC AVE",1985
"256","35 SOUTH PARK",1920
"257","1663 MARKET ST",1921
"258","25 MASON",1911
"259","1650 PACIFIC AVENUE",1922
"260","101 HENRY ADAMS ST",1906
"261","2 LAKE STREET",1926
"262","1700 POST ST",1971
"263","500 POST ST",1987
"264","535 PACIFIC AVE",1907
"265","681 ELLIS ST",1927
"266","1415 BANCROFT AVE",1957
"267","535 SUTTER ST",1921
"268","500 BEACH ST",1974
"269","799 VAN NESS AVE",1917
"270","1530 LOMBARD ST",1977
"271","145 9TH ST",1924
"272","135 4TH ST",0
"273","1818 HARRISON ST",1924
"274","898 PENNSYLVANIA AVE",1979
"275","300 ALEMANY BLVD",1958
