Building Address	Year Built	analysis_neighborhood	supervisor_district
501 POST STREET	1970	Tenderloin	3
925 STOCKTON ST	1907	Chinatown	3
141 TAYLOR ST	2005	Tenderloin	5
645 STOCKTON ST	1928	Nob Hill	3
490 2ND ST	1924	Financial District/South Beach	6
737 BEACH ST	1948	Russian Hill	2
386 GEARY ST	1909	Tenderloin	3
801 HOWARD ST	1970	South of Market	6
2835 GEARY BLVD	1981	Lone Mountain/USF	2
536 MISSION ST	0	Financial District/South Beach	6
145 NATOMA ST	1971	Financial District/South Beach	6
1101 4TH ST	NA	Mission Bay	6
2300 SUTTER ST	1965	Pacific Heights	2
180 TOWNSEND ST	1900	Financial District/South Beach	6
99 BATTERY ST	1908	Financial District/South Beach	3
17 BLUXOME ST	0	South of Market	6
5290 DIAMOND HEIGHTS BLVD	1964	Glen Park	8
168 BLUXOME ST	2009	Mission Bay	6
1444 MARKET ST	1913	Tenderloin	6
420 SUTTER ST	1909	Financial District/South Beach	3
1234 INDIANA ST	1969	Potrero Hill	10
705 NATOMA ST	1994	South of Market	6
1591 JACKSON ST	1986	Russian Hill	3
215 FREMONT ST	1928	Financial District/South Beach	6
155 HAYES ST	1959	Tenderloin	6
346 1ST ST	1996	Financial District/South Beach	6
170 KING ST	2007	Mission Bay	6
43 COLUMBIA SQUARE ST	0	South of Market	6
120 MONTGOMERY ST	1955	Financial District/South Beach	3
3000 16TH ST	1910	Mission	9
201 POST ST	1909	Financial District/South Beach	3
2 FALLON PL	1980	Nob Hill	3
60 SPEAR ST	1967	Financial District/South Beach	6
347 DOLORES ST	1907	Mission	8
150 EXECUTIVE PARK BLVD	1982	Bayview Hunters Point	10
1000 16TH ST	1919	Mission Bay	6
5 COMMER CT	1976	Bayview Hunters Point	10
1425 SANSOME ST	1982	Financial District/South Beach	3
1472 FILBERT ST	1927	Russian Hill	3
2075 SUTTER ST	1992	Japantown	5
114 SANSOME ST	1908	Financial District/South Beach	3
233 POST ST	1908	Financial District/South Beach	3
475 BRANNAN ST	1908	South of Market	6
850 POWELL ST	1978	Chinatown	3
1528 PINE ST	1922	Nob Hill	3
1015 VAN NESS AVE	2004	Western Addition	2
2027 MISSION ST	1981	Mission	9
1239 TURK ST	2016	Western Addition	5
141 INDUSTRIAL ST	1960	Bayview Hunters Point	10
151 3RD ST	2015	Financial District/South Beach	6
327 GRANT AVE	NA	Financial District/South Beach	3
285 WINSTON DR	1988	Lakeshore	7
44 MCALLISTER ST	1923	Tenderloin	5
650 5TH ST	1924	Mission Bay	6
116 NATOMA ST	1910	Financial District/South Beach	6
1668 PINE ST	2016	Western Addition	2
766 HARRISON ST	2008	South of Market	6
351 TURK ST	1928	Tenderloin	5
680 Indiana St	2017	Potrero Hill	10
2095 CALIFORNIA ST	1975	Pacific Heights	5
1301 SANSOME ST	1907	North Beach	3
238 KING ST	2004	Mission Bay	6
1275 FAIRFAX AVE	1986	Bayview Hunters Point	10
1880 PINE ST	1900	Pacific Heights	2
491 POST ST	1913	Tenderloin	3
1750 CESAR CHAVEZ	1986	Bayview Hunters Point	10
1050 SANSOME ST	1906	Financial District/South Beach	3
350 RHODE ISLAND ST - SOUTH	2002	Mission Bay	10
1101 GREEN ST	1930	Russian Hill	3
3001 TARAVAL ST	1946	Sunset/Parkside	4
19 CLEMENTINA ST	2005	Financial District/South Beach	6
222 Taylor St	2019	Tenderloin	5
1880 JACKSON ST	1930	Pacific Heights	2
1063 CAPITOL AVE	1985	Oceanview/Merced/Ingleside	11
364 BUSH ST	1907	Financial District/South Beach	3
780 FULTON ST	1971	Western Addition	5
500 WISCONSIN ST	1978	Potrero Hill	10
1875 MARIN ST	2003	Bayview Hunters Point	10
930 PINE ST	1973	Nob Hill	3
200 BRANNAN ST	2004	Financial District/South Beach	6
255 CALIFORNIA ST	1958	Financial District/South Beach	3
4 EMBARCADERO CENTER	1979	Financial District/South Beach	3
77 DOW PL	2002	Financial District/South Beach	6
2100 GREEN ST	NA	Marina	2
710 LA PLAYA	1984	Outer Richmond	1
55 FRANCISCO ST	0	North Beach	3
3700 GEARY BLVD	1900	Inner Richmond	1
351 KING ST	2006	Mission Bay	6
255 Broadway St	2015	Financial District/South Beach	3
1334 STOCKTON ST	1907	Chinatown	3
19 STOCKTON ST	1910	Financial District/South Beach	3
1025 MARKET ST.	0	South of Market	6
1750 MCALLISTER ST	1974	Western Addition	5
1049 GOLDEN GATE AVE	1973	Western Addition	5
149 BLUXOME ST	1916	Mission Bay	6
420 MAIN ST	1991	Financial District/South Beach	6
260 TOWNSEND ST	1986	South of Market	6
401 ANZA ST	NA	Lone Mountain/USF	1
1028 Market Street	2022	Tenderloin	5
520 DAVIS ST	1981	Financial District/South Beach	3
535 MISSION ST	2014	Financial District/South Beach	6
455 FRANKLIN ST	1983	Hayes Valley	5
1019 CLEMENT ST	1919	Inner Richmond	1
1700 CALIFORNIA ST	1988	Pacific Heights	2
835 HOWARD ST	1907	South of Market	6
942 MISSION ST	1929	South of Market	6
200 BERRY ST	2009	Mission Bay	6
44 GOUGH ST	1906	Mission	6
1770 POST ST	2005	Japantown	5
1135 McAllister St	1971	Western Addition	5
100 CALIFORNIA ST	1959	Financial District/South Beach	3
500 TERRY FRANCOIS BLVD	2008	Mission Bay	6
982 MARKET ST	0	Tenderloin	5
3905 SACRAMENTO ST	1960	Presidio Heights	2
1200 VAN NESS AVE	1911	Nob Hill	3
533 SUTTER ST	1921	Nob Hill	3
2055 FOLSOM ST	1980	Mission	9
425 NORTH POINT ST	1990	North Beach	3
55 CHUMASERO DR	1949	Lakeshore	7
2700 3RD ST	1970	Potrero Hill	10
601 EDDY ST	1956	Tenderloin	5
323 PACIFIC AVE	1907	Chinatown	3
1600 DONNER AVE	1962	Bayview Hunters Point	10
101 WILLIAMS AVE	1946	Bayview Hunters Point	10
3140 MISSION ST	1929	Bernal Heights	9
22 Fourth Street	NA	South of Market	6
40 JESSIE ST	1913	Financial District/South Beach	6
649 GREEN ST	1907	Chinatown	3
965 SUTTER ST	NA	Nob Hill	3
301 CRESCENT CT	2007	Bayview Hunters Point	10
4041 GEARY BLVD	1947	Inner Richmond	1
299 SECOND STREET	1900	Financial District/South Beach	6
195 ERIE ST	1953	Mission	9
111 TOWNSEND ST	1911	Mission Bay	6
405 HOWARD ST	2003	Financial District/South Beach	6
655 BEACH ST	1973	Russian Hill	3
325 BROADWAY	1921	North Beach	3
574 PACIFIC AVE	1907	North Beach	3
501 CRESCENT CT	2006	Bayview Hunters Point	10
1990 OCEAN AVE	1930	West of Twin Peaks	7
2 CONNECTICUT ST	1922	Mission Bay	10
490 GEARY ST	1912	Tenderloin	3
695 MINNESOTA ST	1948	Potrero Hill	10
640 SUTTER ST	1916	Nob Hill	3
2295 BUSH ST	NA	Pacific Heights	5
2225 FOLSOM ST	1946	Mission	9
1350 17th St	1979	Mission Bay	10
1355 FRANKLIN ST	1905	Western Addition	2
860 EDDY ST	1959	Western Addition	2
234 FRONT ST	1927	Financial District/South Beach	3
2030 HARRISON ST	1907	Mission	9
311 CALIFORNIA ST	1910	Financial District/South Beach	3
874 HARRISON ST	1922	South of Market	6
5050 MISSION ST	2017	Outer Mission	11
2001 CALIFORNIA ST	1930	Pacific Heights	5
797 BUSH ST	1912	Nob Hill	3
48 GOLDEN GATE AVE	1911	Tenderloin	5
959 MISSION ST	1906	South of Market	6
2351 Clay St	1972	Pacific Heights	2
550 KEARNY ST	1975	Financial District/South Beach	3
2100 PACIFIC AVE	NA	Pacific Heights	2
510 TOWNSEND ST	2017	South of Market	6
55 UNION ST	1900	Financial District/South Beach	3
300 MASON ST	1908	Tenderloin	3
233 FRANKLIN ST	2010	Hayes Valley	5
1161 MISSION ST	1924	South of Market	6
1621 MARKET ST	2021	Mission	6
530 HOWARD ST	1908	Financial District/South Beach	6
1650 JACKSON ST	1991	Russian Hill	3
80 Pier - Service Building	0	Bayview Hunters Point	10
250 BRANNAN ST	1907	Financial District/South Beach	6
1900 VAN NESS AVE	1919	Russian Hill	3
2055 BRYANT ST	0	Mission	9
860 BUSH ST	1913	Nob Hill	3
141 2ND ST	1907	Financial District/South Beach	6
407 SANCHEZ ST	1900	Castro/Upper Market	8
3355 SACRAMENTO ST	1900	Presidio Heights	2
151 UNION ST	1914	Financial District/South Beach	3
548 4TH ST	1919	South of Market	6
5655 MISSION ST	1939	Excelsior	11
801 MONTGOMERY ST	1987	Chinatown	3
2040 SUTTER ST	1984	Pacific Heights	5
560 BARNEVELD AVE	1955	Bayview Hunters Point	10
363 CLEMENTINA ST	1957	South of Market	6
595 Buckingham Way	1948	Lakeshore	4
65 10TH ST	NA	South of Market	6
680 CALIFORNIA ST	1906	Chinatown	3
375 ALABAMA ST	1926	Mission	9
28 2ND ST	1914	Financial District/South Beach	6
1450 LOMBARD ST	1968	Marina	2
3159 16TH ST	1912	Mission	9
55 2ND ST	2002	Financial District/South Beach	6
301 ELLIS ST	2000	Tenderloin	5
350 ELLIS ST	1970	Tenderloin	5
500 3RD ST STE. 505	1927	South of Market	6
360 BAY ST	1968	North Beach	3
100 APPLETON AVE	1940	Bernal Heights	9
340 PINE ST	1928	Financial District/South Beach	3
201 CALIFORNIA ST	1980	Financial District/South Beach	3
678 GREEN ST	1912	Chinatown	3
353 KING ST	2009	Mission Bay	6
600 BATTERY ST	1927	Financial District/South Beach	3
131 STEUART ST	1907	Financial District/South Beach	6
1750 GENEVA AVE	1996	Excelsior	11
153 TOWNSEND ST	2002	Mission Bay	6
25 POINT LOBOS AVE	1996	Outer Richmond	1
425 First St	2008	Financial District/South Beach	6
1881 PINE ST	1937	Pacific Heights	5
408 COLUMBUS AVE	1924	North Beach	3
225 Berry Street	2005	Mission Bay	6
50 RIZAL ST	1979	South of Market	6
555 CALIFORNIA ST	1969	Financial District/South Beach	3
1080 CHESTNUT ST	1962	Russian Hill	2
301 EXECUTIVE PARK BLVD	2010	Bayview Hunters Point	10
2203 3RD ST	1919	Potrero Hill	10
500 2ND ST	1919	Financial District/South Beach	6
700 EDDY ST	1965	Tenderloin	5
243 Rey St	2000	Visitacion Valley	10
400 LAGUNA ST	2015	Hayes Valley	5
1 GRANT AVE	1910	Financial District/South Beach	3
608 FOLSOM ST	1922	Financial District/South Beach	6
720 MARKET ST	1990	Financial District/South Beach	3
123-131 10th St.	1929	South of Market	6
661 BROADWAY	1963	Chinatown	3
601 BROADWAY	1913	Chinatown	3
51 GRANT AVE	1909	Financial District/South Beach	3
33 NEW MONTGOMERY ST	1986	Financial District/South Beach	6
546 BROADWAY	1907	North Beach	3
39 TAYLOR ST	1906	Tenderloin	5
2090 PACIFIC AVE	1928	Pacific Heights	2
1126 HOWARD ST	1930	South of Market	6
110 Sutter Street	1906	Financial District/South Beach	3
2727 MARIPOSA ST.	1923	Mission	9
1570 SUTTER ST	1900	Pacific Heights	2
1828 GENEVA AVE	2007	Excelsior	11
353 SACRAMENTO ST	1982	Financial District/South Beach	3
1061 MARKET ST	1910	South of Market	6
417 MONTGOMERY ST	1936	Financial District/South Beach	3
565 SOUTH VAN NESS AVE	1955	Mission	9
2700 45TH AVE	1974	Sunset/Parkside	4
150 HAYES ST	1968	Tenderloin	6
225 POST ST	1909	Financial District/South Beach	3
1500 HOWARD ST	1930	Mission	6
1 ARKANSAS ST	1922	Mission Bay	10
550 TERRY FRANCOIS STREET	2002	Mission Bay	6
625 SUTTER ST	1921	Nob Hill	3
840 POWELL ST	1914	Chinatown	3
425 BATTERY ST	0	Chinatown	3
350 TREAT AVE	1944	Mission	9
624 VALLEJO ST	1900	North Beach	3
1137 FOLSOM ST	1984	South of Market	6
114 POWELL ST	1908	Financial District/South Beach	3
1111 17TH ST	1948	Potrero Hill	10
50 PIER	1900	Mission Bay	6
1375 MISSION ST	1929	South of Market	6
1445 LA SALLE AVE	1978	Bayview Hunters Point	10
200 BUSH ST	1912	Financial District/South Beach	3
2141 Chestnut St	1928	Marina	2
640 2ND ST	1925	Financial District/South Beach	6
1135 STEINER ST	1977	Western Addition	5
500 Folsom St	2019	Financial District/South Beach	6
345 STOCKTON ST	1972	Financial District/South Beach	3
1045 SANSOME ST	1926	North Beach	3
366-370 TURK ST	1923	Tenderloin	5
2140 WEBSTER ST	1987	Pacific Heights	2
770 GOLDEN GATE AVE	1973	Western Addition	2
22 TERRA VISTA AVE	1955	Lone Mountain/USF	2
2180 HARRISON ST	1989	Mission	9
531 BRYANT ST	1918	South of Market	6
23 Pier	1900	Financial District/South Beach	3
645 BRYANT ST	1954	South of Market	6
544 2ND ST	1923	Financial District/South Beach	6
633 FOLSOM ST	1967	Financial District/South Beach	6
1430 VAN NESS	1912	Nob Hill	3
740 BUCHANAN ST	1975	Hayes Valley	5
2850 VAN NESS AVE	1955	Russian Hill	3
185 BERRY ST	1920	Mission Bay	6
1 CRESCENT WAY	2001	Bayview Hunters Point	10
2550 MISSION ST	1907	Mission	9
501 DONAHUE ST	NA	Bayview Hunters Point	10
44 PAGE ST	1912	Hayes Valley	6
1663 MISSION ST	1925	Mission	6
1340 HUDSON AVE	1900	Bayview Hunters Point	10
580 GEARY ST	1913	Tenderloin	3
2001 VAN NESS AVE	1920	Pacific Heights	2
901 BATTERY ST	1923	Financial District/South Beach	3
750 FLORIDA ST	1923	Mission	9
1182 MARKET ST	1925	Tenderloin	5
3175 18TH ST	1947	Mission	9
2480 MISSION ST	1973	Mission	9
185 6TH ST	1907	South of Market	6
1355 Golden Gate Ave	1974	Western Addition	5
1699 MARKET ST	1954	Mission	6
1645 PACIFIC AVE	2014	Russian Hill	3
90 Kiska Rd	NA	Bayview Hunters Point	10
612 ALABAMA ST	1914	Mission	9
1240 MARKET ST	1908	Tenderloin	6
1330 16TH ST	NA	Mission Bay	6
657 COMMERCIAL ST	1907	Chinatown	3
200 6TH ST	1909	South of Market	6
1190 MISSION ST	NA	South of Market	6
303 2ND ST	1988	Financial District/South Beach	6
1023 03RD ST	2023	Mission Bay	6
2790 MISSION ST	1917	Mission	9
1201 EVANS AVE	1986	Bayview Hunters Point	10
216 PINE ST	1907	Financial District/South Beach	3
2000 WASHINGTON ST	NA	Pacific Heights	2
37 Grove St	1924	Tenderloin	6
280 Beale St	2015	Financial District/South Beach	6
640 SACRAMENTO ST	1907	Chinatown	3
1540 MARKET ST	1920	Hayes Valley	6
840 BATTERY ST	1931	Financial District/South Beach	3
3950 19TH AVE	1953	Oceanview/Merced/Ingleside	11
1925 GOUGH ST	NA	Pacific Heights	2
1310 JONES ST	1955	Nob Hill	3
1701 VAN NESS AVE	1917	Pacific Heights	2
400 NORTH POINT ST	1958	North Beach	3
498 Castro St	1900	Castro/Upper Market	8
1491 Sunnydale Ave	NA	Visitacion Valley	10
1900 UNION ST	1970	Marina	2
980 HOWARD ST	1998	South of Market	6
132 HAWTHORNE ST	1948	Financial District/South Beach	6
128 KING ST	1913	Mission Bay	6
80 CAROLINA ST	1984	Mission Bay	6
1189 POTRERO AVE	1997	Mission	10
745 Clement St	2002	Inner Richmond	1
1661 MISSION ST	1935	Mission	6
1900 NORIEGA ST	1975	Sunset/Parkside	4
43 LANSING ST	1961	Financial District/South Beach	6
101 TOWNSEND ST	1913	Mission Bay	6
400 MONTGOMERY ST	1901	Financial District/South Beach	3
77 BATTERY ST	1907	Financial District/South Beach	3
104 9TH ST	1926	South of Market	6
825 HOWARD ST	2007	South of Market	6
1101 GREENWICH ST	1911	Russian Hill	3
200 CALIFORNIA ST	1988	Financial District/South Beach	3
960 HOWARD ST	1920	South of Market	6
200 W Portal Ave	1931	West of Twin Peaks	7
870 MARKET ST	1907	Financial District/South Beach	3
555 FLORIDA ST	1923	Mission	9
710 SANSOME ST	1907	Chinatown	3
3 EMBARCADERO CENTER	1976	Financial District/South Beach	3
95 Laguna Street	NA	Hayes Valley	8
55 NATOMA ST	1908	Financial District/South Beach	6
1717 HARRISON ST	0	Mission	6
648 PACIFIC AVE	1911	Chinatown	3
1400 VAN NESS AVE	1913	Nob Hill	3
1001 PINE ST	1963	Nob Hill	3
895 PACIFIC AVE	1950	Chinatown	3
2398 PACIFIC AVE	1927	Pacific Heights	2
88 1ST ST	1907	Financial District/South Beach	6
552 BRANNAN ST	1923	South of Market	6
2500 16th St.	1925	Mission	9
135 MAIN ST	0	Financial District/South Beach	6
601 OFARRELL ST	1928	Tenderloin	5
222 SUTTER ST	1908	Financial District/South Beach	3
1475 MISSION ST	1975	South of Market	6
100 VAN NESS AVE	2015	Tenderloin	6
101 MARKET ST	1982	Financial District/South Beach	6
50 FREMONT ST	1985	Financial District/South Beach	6
3490 CALIFORNIA ST	2000	Presidio Heights	2
325 BATTERY ST	1989	Chinatown	3
521 JESSIE ST	NA	South of Market	6
220 CASHMERE ST	NA	Bayview Hunters Point	10
450 SUTTER ST	1929	Financial District/South Beach	3
66 TURK ST	1907	Tenderloin	5
587 Eddy Street	1925	Tenderloin	5
77 FEDERAL ST	2020	Financial District/South Beach	6
495 GEARY ST	1913	Tenderloin	3
1591 PACIFIC AVE	2013	Russian Hill	3
5545 3RD ST	1999	Bayview Hunters Point	10
321 11TH ST	1907	South of Market	6
77 STILLMAN ST	1944	Financial District/South Beach	6
1511 15TH ST	2014	Mission	9
875 HOWARD ST	1920	South of Market	6
8 LOCKSLEY AVE	1961	Inner Sunset	7
690 5TH ST	1983	Mission Bay	6
220 SAN BRUNO AVE	1961	Mission	6
1050 BATTERY ST	1907	Financial District/South Beach	3
1212 MARKET ST	1907	Tenderloin	6
336-344 Mason Street	1968	Tenderloin	3
1 GARCES DR	NA	Lakeshore	7
717 BATTERY ST	1907	Financial District/South Beach	3
1320 GOLDEN GATE AVE	1941	Western Addition	5
730 HARRISON ST	1988	South of Market	6
2450 17TH ST	1913	Mission	9
30 Otis Street	2021	Mission	6
150 FRANCISCO ST	1983	North Beach	3
231 GRANT AVE	1907	Financial District/South Beach	3
391 SUTTER ST	1908	Financial District/South Beach	3
150 VAN NESS AVE	1925	Tenderloin	6
405 TAYLOR ST	1924	Tenderloin	5
375 NEWHALL ST	1988	Bayview Hunters Point	10
415 GEARY ST	1909	Tenderloin	3
1817 EDDY ST	1991	Western Addition	5
121 STEUART ST	1984	Financial District/South Beach	6
1000 BRANNAN ST	1924	South of Market	6
1890 CLAY ST	1962	Pacific Heights	2
620 FOLSOM ST	1922	Financial District/South Beach	6
5830 3RD ST	2010	Bayview Hunters Point	10
4800 MISSION ST	1952	Outer Mission	11
2 TOWNSEND ST	1989	Financial District/South Beach	6
1475 LOMBARD ST	1971	Marina	2
1200 BUCHANAN ST	2001	Western Addition	5
1730 VAN NESS AVE	1919	Nob Hill	3
1000 NORTH POINT ST	1963	Russian Hill	2
2235 HAYES ST	1966	Lone Mountain/USF	5
2150 CESAR CHAVEZ ST	1942	Bayview Hunters Point	10
500 RAYMOND AVE	2002	McLaren Park	10
711 EDDY ST	1979	Tenderloin	5
2050-2070 FOLSOM ST	2021	Mission	9
325 MASON	1955	Tenderloin	3
1776 SACRAMENTO ST	1920	Nob Hill	3
3101 19TH ST	1913	Mission	9
302 ELLIS ST	1930	Tenderloin	5
475 6TH ST	1927	South of Market	6
441 MASON ST	NA	Tenderloin	3
1035 MARKET ST	1912	South of Market	6
1750 HARRISON ST.	1996	Mission	9
2552 TAYLOR ST	1986	North Beach	3
1100 POLK ST	1917	Nob Hill	3
2000 FOLSOM ST	0	Mission	9
2015 STEINER ST	1907	Pacific Heights	2
999 BRANNAN ST	1986	South of Market	6
255 7TH ST	NA	South of Market	6
2350 NORIEGA ST	1986	Sunset/Parkside	4
403 MAIN ST	NA	Financial District/South Beach	6
231 SANSOME ST	1925	Financial District/South Beach	3
921 FRONT ST	1900	Financial District/South Beach	3
217 SANSOME ST	1908	Financial District/South Beach	3
444 BATTERY ST	1967	Financial District/South Beach	3
1001 VAN NESS AVE	2020	Western Addition	2
660 MARKET ST	1924	Financial District/South Beach	3
1601 22ND AVE	1939	Sunset/Parkside	4
250 BEACH ST	1963	North Beach	3
836 BRANNAN ST	2001	South of Market	6
1072 MARKET ST	1911	Tenderloin	5
1049 MARKET ST	1907	South of Market	6
350-360 9TH ST	1920	South of Market	6
1067 MARKET ST	1924	South of Market	6
948 MARKET ST	1907	Tenderloin	3
2599 LOMBARD ST	1957	Marina	2
541 8TH ST	1937	South of Market	6
1701 MONTGOMERY ST	1906	North Beach	3
651 BRANNAN ST	1911	Mission Bay	6
340 FREMONT ST	2016	Financial District/South Beach	6
49 GEARY STREET	1912	Financial District/South Beach	3
607 FRONT ST	1906	Financial District/South Beach	3
2451 SACRAMENTO ST	1900	Pacific Heights	2
2574 SAN BRUNO AVE	2010	Portola	9
121 7TH ST	1961	South of Market	6
890 HAYES ST	1900	Hayes Valley	5
2345 Golden Gate Ave	NA	Lone Mountain/USF	1
1111 8TH ST	0	Mission Bay	6
290 7TH ST	1926	South of Market	6
1060-1066 Market St,  San Francisco, CA 94102	2020	Tenderloin	5
1901 LOMBARD ST	1984	Marina	2
350 8TH ST	2017	South of Market	6
525 MARKET ST	1973	Financial District/South Beach	6
1390 SILVER AVE	1964	Portola	9
555 BEACH ST	1951	North Beach	3
50 GREEN ST	1907	Financial District/South Beach	3
1455 FILLMORE ST	1993	Western Addition	5
1750 ALAMEDA ST	1948	Mission Bay	6
1145 MARKET ST	1990	South of Market	6
1100 CESAR CHAVEZ ST	1949	Bayview Hunters Point	10
398 11TH ST	1916	Mission	6
2460 MISSION ST	1968	Mission	9
6333 GEARY BLVD	1957	Outer Richmond	1
1700 Egbert Ave	1997	Bayview Hunters Point	10
2238 GEARY BLVD	1999	Japantown	2
390 4TH ST	1924	South of Market	6
2130 FULTON ST	1921	Lone Mountain/USF	1
121 GOLDEN GATE AVE	2014	Tenderloin	5
352 BRIGHTON AVE	2012	West of Twin Peaks	7
2055 SACRAMENTO ST	1975	Pacific Heights	2
1520 TAYLOR ST	1976	Nob Hill	3
828 FRANKLIN ST	1983	Western Addition	2
2 BRYANT ST	1937	Financial District/South Beach	6
1580 VALENCIA ST	2018	Bernal Heights	9
445 BUSH ST	1905	Financial District/South Beach	3
One Post Street	1969	Financial District/South Beach	3
2750 19TH ST	1907	Mission	9
355 BRYANT ST	1917	Financial District/South Beach	6
1745 CALIFORNIA ST	1900	Western Addition	2
2445 Golden Gate Ave	1921	Lone Mountain/USF	1
609 SUTTER ST	1927	Nob Hill	3
505 Brannan Street	NA	South of Market	6
3201 CALIFORNIA ST	2000	Presidio Heights	2
401 ALABAMA ST	1925	Mission	9
1363 DIVISADERO ST	1926	Western Addition	5
865 MARKET ST	1908	South of Market	6
2340 CLAY ST	1920	Pacific Heights	2
95 HAYES ST	1967	Tenderloin	6
800 PRESIDIO AVE	1952	Presidio Heights	5
1501 LOMBARD ST	1954	Marina	2
420 TAYLOR ST	1942	Tenderloin	3
940 BATTERY ST	1917	Financial District/South Beach	3
315 MONTGOMERY ST	1921	Financial District/South Beach	3
805 LEAVENWORTH ST	1924	Nob Hill	3
680 2ND ST	1913	Financial District/South Beach	6
3535 BALBOA ST	1947	Outer Richmond	1
410 JESSIE ST	1926	South of Market	6
3711 19th Ave	NA	Lakeshore	7
1285 SUTTER ST	2013	Nob Hill	3
901 SACRAMENTO ST	1982	Chinatown	3
300 MONTGOMERY ST	1918	Financial District/South Beach	3
854 FOLSOM ST	1926	South of Market	6
199 Fremont St	0	Financial District/South Beach	6
323 GEARY ST	1908	Tenderloin	3
451 Kansas Street	2007	Potrero Hill	10
1000 VAN NESS AVE	1920	Tenderloin	5
2499 OCEAN AVE	1977	West of Twin Peaks	7
125 GARDENSIDE DR	1982	Twin Peaks	8
101 CARGO WAY	1981	Bayview Hunters Point	10
3450 3RD ST #2 A	1987	Bayview Hunters Point	10
1040 COLUMBUS AVE	1950	North Beach	3
4699 3RD ST	1956	Bayview Hunters Point	10
1250 TENNESSEE ST	1965	Potrero Hill	10
48 STOCKTON ST	1909	Financial District/South Beach	3
2323 Sacramento St	1965	Pacific Heights	2
690 FOLSOM ST	1926	Financial District/South Beach	6
1028 HOWARD ST	1994	South of Market	6
400 VIDAL DR	1942	Lakeshore	7
1469 PACIFIC AVE	1921	Russian Hill	3
624 TAYLOR ST	1934	Nob Hill	3
650 CHESTNUT ST	1995	North Beach	3
466 GEARY ST	1922	Tenderloin	3
899 PINE ST	1961	Nob Hill	3
4767 MISSION ST	1935	Excelsior	11
606 HOWARD ST	1904	Financial District/South Beach	6
495 JEFFERSON ST	1907	Russian Hill	3
5644 GEARY BLVD	1931	Outer Richmond	1
1833 FILLMORE ST	1916	Pacific Heights	5
1695 MISSION ST	1951	Mission	6
1401 HOWARD ST	1902	South of Market	6
1699 VAN NESS AVE	1919	Pacific Heights	2
1263 MISSION ST	1924	South of Market	6
1395 EVANS AVE	1941	Bayview Hunters Point	10
20 CALIFORNIA ST	1908	Financial District/South Beach	3
1600 JACKSON ST	1908	Russian Hill	3
625 TOWNSEND ST	2002	Mission Bay	6
499 JACKSON ST	1965	Chinatown	3
355 BUENA VISTA AVE	1986	Castro/Upper Market	8
1142 VAN NESS AVE	1909	Tenderloin	3
748 MISSION ST	1900	Financial District/South Beach	6
180 MONTGOMERY ST	1978	Financial District/South Beach	3
122 15TH ST	1947	Mission Bay	6
1233 VAN NESS AVE	1913	Western Addition	2
188 EMBARCADERO	1986	Financial District/South Beach	6
641 FREDERICK ST	1990	Inner Sunset	8
986 POLK ST	2008	Tenderloin	5
691 MARKET ST	1909	Financial District/South Beach	6
345 WILLIAMS AVE	1964	Bayview Hunters Point	10
1595 SLOAT BLVD	1993	Sunset/Parkside	4
1998 MARKET ST	NA	Hayes Valley	8
20 HERON ST	1931	South of Market	6
451 DONAHUE ST	NA	Bayview Hunters Point	10
1483 SUTTER ST	1993	Western Addition	2
1001 CALIFORNIA ST	1914	Nob Hill	3
301 BRYANT ST	1998	Financial District/South Beach	6
644 BROADWAY	1985	Chinatown	3
501 JOHN MUIR DR	1973	Lakeshore	7
2587 Marin Street	1986	Bayview Hunters Point	10
750 POST ST	1914	Nob Hill	3
1015 GEARY ST	1925	Tenderloin	5
135 POST ST	1908	Financial District/South Beach	3
522 2ND ST	1923	Financial District/South Beach	6
625 3RD ST	1909	Financial District/South Beach	6
1990 GREEN ST	1926	Marina	2
642 JONES ST	1911	Tenderloin	3
160 FOLSOM ST	1951	Financial District/South Beach	6
1727 FILLMORE ST	1974	Japantown	5
444 MARKET ST	1981	Financial District/South Beach	3
1065 COLUMBUS AVE	1976	Russian Hill	3
950 FRANKLIN	1931	Western Addition	2
450 GEARY ST	1922	Tenderloin	3
4 CAMBON DR	1942	Lakeshore	7
THE EMBARCADERO #0015	1900	Financial District/South Beach	3
1100 MARKET ST	1909	Tenderloin	5
500 COLUMBUS AVE	1907	North Beach	3
641 OFARRELL ST	1907	Tenderloin	5
399 FREMONT ST	2016	Financial District/South Beach	6
550 15TH ST	1906	Mission	6
562 SUTTER ST	1907	Nob Hill	3
2775 VAN NESS AVE	1972	Marina	2
750 KEARNY ST	1970	Chinatown	3
1258 Minnesota St	2014	Potrero Hill	10
20 FRANKLIN ST	1917	Hayes Valley	6
1438 GREEN ST	1998	Russian Hill	3
1160 MISSION ST	2008	South of Market	6
455 EDDY ST	1964	Tenderloin	5
2001 BRYANT ST	1943	Mission	9
4610 MISSION ST	1963	Outer Mission	11
580 YORK ST	1918	Mission	9
1390 Mission St	NA	South of Market	6
1445 BUSH ST	1915	Nob Hill	3
300 BERRY ST	2009	Mission Bay	6
55 5TH ST	1913	South of Market	6
101 2ND ST	2000	Financial District/South Beach	6
96A Pier	1941	Bayview Hunters Point	10
383 RHODE ISLAND ST	1924	Mission Bay	10
500 TURK ST	2022	Tenderloin	5
351 9TH ST	1929	South of Market	6
38 TEHAMA ST	0	Financial District/South Beach	6
