Building Address	Year Built	analysis_neighborhood	supervisor_district
140 CHESTNUT ST	1906	North Beach	3
54 MCALLISTER ST	1986	Tenderloin	5
750 OFARRELL ST	1913	Tenderloin	5
940 SUTTER ST	1925	Nob Hill	3
1333 PACIFIC AVE	1975	Russian Hill	3
2823 18th St	NA	Mission	9
950 TENNESSEE ST	1947	Potrero Hill	10
767 BRYANT ST	2002	South of Market	6
909 MONTGOMERY ST	1983	North Beach	3
120 8TH ST	1925	South of Market	6
342 GRANT AVE	1912	Financial District/South Beach	3
333 BRANNAN ST	1972	Financial District/South Beach	6
2460 ALAMEDA ST	2009	Mission	9
600 TOWNSEND ST	1989	South of Market	6
925 CORBETT AVE	1978	Twin Peaks	8
5825 MISSION ST	1989	Excelsior	11
400 BEALE ST	2002	Financial District/South Beach	6
690 CHESTNUT ST	1997	North Beach	3
75 DORE ST	2005	South of Market	6
1600 15TH ST	2013	Mission	9
5268 DIAMOND HEIGHTS BLVD	1964	Glen Park	8
440 ALABAMA ST	1946	Mission	9
101 MONTGOMERY ST	1984	Financial District/South Beach	3
100 Channel Street	2023	Mission Bay	6
2121 3RD ST	NA	Potrero Hill	10
2 NEW MONTGOMERY ST	1909	Financial District/South Beach	6
888 7TH ST	2007	Mission Bay	6
460 TOWNSEND ST	1915	Mission Bay	6
301 KING ST	NA	Mission Bay	6
901 Fairfax Ave	NA	Bayview Hunters Point	10
999 California St	1926	Nob Hill	3
600 CHESTNUT ST	1995	North Beach	3
2340 STOCKTON ST	1970	North Beach	3
1500 POLK ST	1970	Nob Hill	3
211 MAIN ST	1973	Financial District/South Beach	6
398 KANSAS ST	1912	Mission Bay	10
1150 OCEAN AVE	2012	West of Twin Peaks	7
270 Brannan Street	2017	Financial District/South Beach	6
765 MARKET ST	2001	Financial District/South Beach	6
2340 CHESTNUT ST	1937	Marina	2
2195 FULTON ST	2000	Lone Mountain/USF	1
431 SUTTER ST	1909	Financial District/South Beach	3
50 FRANCISCO ST	1976	North Beach	3
2720 TAYLOR ST	1974	North Beach	3
1800 BRYANT ST	2000	Mission	9
1680 EVANS AVE	1948	Bayview Hunters Point	10
1850 MISSION ST	1946	Mission	9
255 King St	2003	Mission Bay	6
275 BATTERY ST	1989	Financial District/South Beach	3
157 BLUXOME ST	1916	Mission Bay	6
181 3RD ST	1999	Financial District/South Beach	6
26 PIER	1900	Financial District/South Beach	6
2043 19TH AVE	1968	Sunset/Parkside	4
4150 17TH ST	1994	Castro/Upper Market	8
550 CALIFORNIA ST	1960	Financial District/South Beach	3
1155 BATTERY ST	1982	Financial District/South Beach	3
1 Thomas More Way	NA	Lakeshore	7
1055 FILLMORE ST	1984	Western Addition	5
1115 MARKET ST	1920	South of Market	6
366 CLEMENTINA ST	1949	South of Market	6
417 STOCKTON ST	1907	Financial District/South Beach	3
950 BATTERY ST	1932	Financial District/South Beach	3
1400 GRANT AVE	1907	North Beach	3
1337 SUTTER ST	1910	Western Addition	2
630 TREAT AVE	1920	Mission	9
900 NORTH POINT ST.	0	Russian Hill	2
1201 4TH ST	2009	Mission Bay	6
815 EDDY ST	1986	Western Addition	2
1940 LOMBARD ST	1980	Marina	2
400 SUTTER ST	1907	Financial District/South Beach	3
332 PINE ST	1912	Financial District/South Beach	3
531 ARBALLO DR	1942	Lakeshore	7
74 NEW MONTGOMERY ST	1907	Financial District/South Beach	6
219 BRANNAN ST	2000	Financial District/South Beach	6
1501 CUSTER AVE	1964	Bayview Hunters Point	10
170 O'FARRELL ST	1946	Financial District/South Beach	3
859 OFARRELL ST	1907	Tenderloin	5
2030 VALLEJO ST	1966	Marina	2
401 MASON ST	1916	Tenderloin	3
461 BUSH ST	1907	Financial District/South Beach	3
75 FOLSOM ST	1991	Financial District/South Beach	6
250 10TH ST	2020	South of Market	6
1075 SUTTER ST	1924	Nob Hill	3
2065 OAKDALE AVE	1964	Bayview Hunters Point	10
895 OFARRELL ST	1924	Tenderloin	5
1201 INGALLS ST	1976	Bayview Hunters Point	10
360 18TH AVE	1935	Outer Richmond	1
1015 FOLSOM ST	1932	South of Market	6
65 BATTERY ST	1918	Financial District/South Beach	3
200 JENNINGS ST	1982	Bayview Hunters Point	10
2295 TAYLOR ST	1919	Russian Hill	3
