"","Street Address","Business Start Date","Location Start Date","DBA Name"
"1811","1740 Cesar Chavez Street Unit 2w",2019-06-26,2019-07-03,"American Eclectic Burger; Burger Bytes"
"1812","741 Diamond St",2018-12-12,2019-04-23,"Virtual Kitchen Co"
"1813","2111 Franklin St 9",2017-09-19,2017-09-26,"Gypset Cafe"
"1814","1755 O'farrell St T1-1312",2017-03-01,2017-04-07,"Mycookiesf"
"1815","1 Mobile Caterers",2018-09-19,2019-02-20,"Marley's Streats"
"1816","103 Horne Ave",2018-08-17,2018-08-20,"San Francisco Tapas LLC"
"1817","103 Horne St",2017-02-08,2019-01-01,"Crazy Curry"
"1818","1840 Fillmore St",2017-07-01,2018-06-01,"Philmore Creamery"
"1819","601 Mission Bay North N Blvd",2019-09-25,2019-11-05,"Crepe Hearts"
"1820","708 Clement St",2017-11-17,2017-11-17,"Heritage"
"1821","2430 33rd Ave",2017-06-20,2017-06-20,"Mohinga House"
"1822","Pier 15 The Embarcadero Ste 200",2016-01-22,2016-01-22,"Seaglass Management Company LLC"
"1823","1218 Newhall St",2018-01-03,2018-01-03,"Taqueria San Marcos"
"1824","1298 12th Ave",2017-05-19,2017-05-19,"Irving Subs"
"1825","1152 Valencia St",2017-09-29,2018-03-01,"Sugoi Sushi And Catering"
"1826","17 20th Street North",2017-02-10,2017-02-10,"Shipt"
"1827","1566 Carroll Ave",2018-05-31,2018-06-01,"903"
"1828","475 Sixth St",2016-10-11,2016-10-11,"Sweetgreen Soma Cloud Kitchen -K18"
"1829","584 Valencia St",2017-12-19,2021-08-17,"Chezchez"
"1830","1541 Sloat Blvd",2019-09-10,2020-05-16,"Tea Hut"
"1831","272 O'farrell St",2018-03-16,2018-03-16,"Gong Cha"
"1832","3625 W Balboa E St Bldg",2018-02-07,2018-02-07,"Hockey Haven"
"1833","1028 Market St",2018-11-07,2019-05-22,"Kayma"
"1834","935 Ofarrell St Apt 2",2019-07-25,2019-07-25,"Caviar"
"1835","207 Webster St",2016-03-03,2016-03-03,"Jam Hot"
"1836","753 Alabama St",2016-09-06,2016-09-06,"Flower Shop, LLC"
"1837","1225 31st Ave",2018-05-03,2023-03-16,"Jarisara"
"1838","1 Mobile Caterers",2019-06-26,2019-07-18,"Reef Kitchens"
"1839","248 Fillmore St",2017-06-01,2017-06-01,"Choux"
"1840","24 Jasper Place",2017-04-28,2017-04-28,"Organic"
"1841","845 Market St Ste 497",2018-01-01,2019-11-26,"Cocosueno"
"1842","517 Ofarrell St",2018-07-31,2018-08-01,"Tl Cafe"
"1843","479 Ellis St",2020-01-01,2020-05-01,"The Roost"
"1844","177 Townsend St",2017-09-18,2017-09-18,"Subway #51109"
"1845","2 Marina Blvd.",2017-10-17,2019-11-25,"J&D's Bbq"
"1846","22 Peace Plz 505",2017-03-23,2018-11-29,"Takara Restaurant"
"1847","970 Chestnut St 9",2018-05-17,2018-11-01,"Camp Toasted"
"1848","452 Ellicott Loop",2018-02-22,2018-02-22,"Ace King Bbq"
"1849","135 4th St 4534",2017-03-10,2019-05-29,"Uji Time Dessert"
"1850","501 Taylor St Apt 608",2019-10-21,2019-10-21,"Khao Thai Catering"
"1851","1821 Steiner St",2019-03-18,2019-03-18,"Create A Bowl"
"1852","61 Elsie St",2017-09-15,2017-09-15,"C & C Culinary Resources LLC"
"1853","330 Danny Ct",2019-08-22,2019-08-22,"Squid Pro Quo"
"1854","350 Townsend St 817",2018-02-01,2018-03-28,"Chaha"
"1855","3145 Fillmore St",2018-06-01,2018-06-01,"Sade"
"1856","752 Columbus Ave",2017-10-17,2017-12-26,"Bunn Mike"
"1857","918 Adams St 1",2017-10-16,2017-10-16,"Venezuelan Cafe LLC"
"1858","1605 Jerrold Ave",2018-02-26,2018-02-26,"Bayview Pasta"
"1859","2615 Willow Pass Rd",2017-01-23,2017-01-23,"Ko-Cups"
"1860","1 Market St, Spear Tower Fl 36th",2017-06-06,2017-06-06,"Fullskoop Inc"
"1861","319 South Maple St Ste 209",2018-01-01,2018-01-01,"Nourish"
"1862","855 Bryant St",2016-05-09,2019-11-22,"Babylon Mediterranean"
"1863","11 Hopkins Ave",2017-01-01,2017-01-01,"Edward Feeney-Land"
"1864","3906 Mission St Apt 8",2019-02-27,2019-02-27,"Chicano Nuevo"
"1865","235 Montgomery Street",2016-12-12,2017-04-26,"Joe & The Juice"
"1866","804 Bryant St",2018-12-16,2018-12-16,"Tru Lab Functional Gelato Food"
"1867","648 Kearny St",2018-10-01,2018-10-01,"Hon's Wun Tun House"
"1868","350 Mission St Fl 22/23",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"1869","428 11th St",2018-11-07,2019-10-03,"Kayma"
"1870","3200 Zanker Rd 1464",2016-10-06,2016-10-06,"Korean Bobcha"
"1871","50 United Nations Plaza",2018-02-01,2018-02-01,"Plaza Cafe"
"1872","1 United Nation Plaza",2018-10-10,2018-10-10,"Old Fashioned Kettle Corn"
"1873","19036 Center St",2016-03-10,2016-03-10,"Southern Comfort Kitchen"
"1874","957 Connecticut St",2019-07-12,2019-07-12,"Lolo's Unicorn Juice Bar"
"1875","702 San Anselmo Ave",2016-04-18,2016-04-18,"Dba   Flour Craft Bakery"
"1876","3232 Scott St",2017-01-18,2017-06-07,"Parigo"
"1877","4683 Mission St",2016-10-21,2016-10-21,"An Chi Inc"
"1878","643 Post St",2017-03-10,2017-03-10,"Zzan"
"1879","64 14th St",2016-12-15,2016-12-15,"Pink Onion"
"1880","833 Oxford St",2018-07-26,2018-07-26,"Soaring Food Group, LLC"
"1881","2531 San Bruno Ave",2017-07-11,2017-10-01,"Taqueria Gonzalez Sf LLC"
"1882","One Ferry Building Ste 50",2016-05-27,2020-02-24,"Hummus Heaven"
"1883","1740 Buchanan St",2019-01-21,2019-01-21,"Oji"
"1884","3751 Geary Blvd",2018-01-03,2018-01-08,"Jie Ying"
"1885","691 14th St",2017-04-10,2023-03-17,"The Good Sip"
"1886","2048 19th Ave",2016-07-28,2016-07-28,"Yum Yum Poke LLC"
"1887","1000 Guerrero St",2018-05-25,2018-05-25,"Plain Jane"
"1888","16 Aladdin Terrace",2016-08-30,2016-08-30,"Coffee Pilgrimage"
"1889","1994 37th Ave",2018-05-18,2022-05-12,"Outer Sunset Farmers Market & Mercantile"
"1890","1775 Ofarrell St Apt 7",2019-01-01,2019-01-01,"Coast To Coast Acai And Granola"
"1891","1549 Polk St",2017-04-20,2017-04-20,"Donuts & Things"
"1892","1240 Noriega St",2018-10-01,2018-10-01,"Green Bamboo, Golden Bay, Jia!"
"1893","600 Page St Apt 103",2016-01-26,2016-01-26,"Kuma Sushi + Sake"
"1894","3017 Mission St",2016-05-06,2020-09-16,"Shaska Gourmet"
"1895","5524 Geary Blvd",2017-09-21,2017-09-21,"Jijime"
"1896","1399 18th St",2016-10-12,2016-10-13,"Parker"
"1897","398 Dolores St",2017-04-01,2017-04-01,"Maxfield's House Of Caffeine"
"1898","108 Carl St B",2018-02-24,2018-04-24,"Inovino"
"1899","5214 Diamond Heights Blvd Ste A",2017-09-21,2017-09-21,"Choice Yakiniku"
"1900","2046 Greenwich St. 3",2019-06-10,2020-01-22,"Aroy Thai"
"1901","372 Ritch St",2017-06-01,2018-03-29,"Cento Coffee"
"1902","3420 18th St",2018-08-20,2018-08-20,"Brew Cha"
"1903","1358 9th Ave",2017-07-21,2017-07-21,"Kogi Gogi"
"1904","110 Building Hunters Point Shipyard",2016-04-04,2017-07-03,"Word On The Street"
"1905","399 Geary St Ste A",2019-04-01,2019-04-01,"Mastro's"
"1906","1 Mobile Caterers",2018-10-17,2018-11-21,"Golden Gate Halal"
"1907","701 Columbus Ave",2016-05-18,2016-05-18,"Da Flora"
"1908","3768 Angelo Ave",2018-10-03,2018-10-03,"The Foodie Shack"
"1909","655 22nd St",2019-09-10,2019-10-28,"Mainstay Markets"
"1910","2948 Folsom St",2019-02-12,2019-02-12,"La Cocina De Mama"
"1911","1290 Fillmore St Ste 112",2019-05-28,2019-05-28,"Fillmore Square"
"1912","1280 Van Dyke Avenue",2017-06-01,2017-06-01,"Ez Buy Cash & Carry LLC"
"1913","2175 Market St Kiosk K",2016-03-28,2016-03-28,"Homestead Cookies"
"1914","103 Horne Ave",2016-07-01,2017-03-29,"Kokio Republic"
"1915","145 Columbus Ave",2017-06-30,2017-06-30,"The Danish & Donut Corner"
"1916","1660 10th Ave",2019-01-01,2019-01-01,"The Harry Banana"
"1917","1 Boutwell St",2018-04-03,2019-05-03,"El Alambre"
"1918","333 O'farrell St",2017-01-02,2017-01-02,"Sf Hilton Banquet Facility"
"1919","1563 Page St",2016-12-23,2016-12-23,"Flik International Corp"
"1920","132 The Embarcadero",2018-06-01,2018-06-01,"Angler Sf, LLC"
"1921","125 Addison St Apt",2017-08-23,2017-08-24,"Tipsy Sweetz"
"1922","1994 37th Ave",2019-04-02,2020-06-17,"Avast Bakeshop"
"1923","525 Haight St",2019-12-09,2019-12-09,"Perilla"
"1924","475 6th St",2019-03-07,2019-03-07,"Positive Foods"
"1925","101 Hyde St",2019-12-19,2024-11-21,"The Geez Freeze"
"1926","899 Pine St 803",2017-05-01,2017-05-01,"24k Cupcakes"
"1927","212 6th St",2018-12-21,2019-01-16,"Limonnana"
"1928","103 Horne Ave",2017-07-12,2017-07-13,"Ora Schulman, LLC"
"1929","1 Cielito Dr",2017-03-31,2023-05-26,"Sinden Marketing Inc"
"1930","2400 San Bruno Ave",2016-04-25,2016-04-25,"Fresh Start #2"
"1931","385 Baltimore Way",2018-10-19,2018-10-19,"Borage Catering"
"1932","430 O'farrell Street St Apt 501",2019-07-16,2019-07-16,"The Wild Bunny's Vegan Jerky"
"1933","5344 Geary Blvd",2016-05-01,2016-05-01,"E Tea"
"1934","2099 Folsom St",2016-12-22,2016-12-22,"Noe Bagel"
"1935","5336 Geary Blvd",2018-04-01,2018-04-01,"Ichiraku Ramen"
"1936","501 Broadway St",2017-04-21,2017-04-21,"Little Szechuan"
"1937","2165 Union St",2016-02-09,2023-10-03,"Celeste"
"1938","3047 Mission St",2019-04-19,2020-10-23,"El Honduras Restaurant"
"1939","907 Minna St",2018-11-28,2018-11-28,"Gossip Kitchen SF"
"1940","Aven Avenue N",2019-07-01,2024-02-05,"Ansanelli Productions Dba: Treasurefest"
"1941","120 Green St",2016-11-22,2016-11-22,"Chica SF"
"1942","305 Turk St",2018-07-26,2018-07-26,"Taqueria La Paz"
"1943","1142 Grant Ave",2016-09-01,2017-01-20,"Puppy Bobar"
"1944","321 W Portal Ave Ste A",2018-12-20,2019-04-09,"L'amour De Saigon"
"1945","4217 Geary Blvd",2016-07-08,2016-07-08,"Dancing Bull"
"1946","Terminal 3 Courtyard T3b031",2018-03-12,2018-03-12,"Limon Rotisserie"
"1947","1844 San Jose Ave",2019-12-23,2019-12-23,"Balboa Ice Cream"
"1948","1 Mobile Caterers",2019-06-26,2019-09-25,"Vessel Operations (#9)"
"1949","244 California St Ste 400",2018-06-01,2018-06-01,"Mg-350 Mission LLC"
"1950","32 3rd Street",2019-12-01,2020-10-01,"Kona's Street Market"
"1951","466 Eddy St",2016-08-17,2016-08-17,"Onsen Holistic Spa And Tea Room LLC"
