"","Street Address","Business Start Date","Location Start Date","DBA Name"
"1","4101 3rd St",2017-08-14,2018-10-11,"Chef Boug"
"2","222 Stanyan St",2018-07-27,2018-07-27,"Royal Ground Coffee/Koret Deli"
"3","1410 Millbrae Ave 104",2019-03-22,2019-03-22,"King Of Thai Noodle House"
"4","634 Monterey Blvd",2017-07-24,2017-07-24,"Brenda's Decadent Chocolates"
"5","1550 Howard St",2018-10-04,2018-10-04,"Barnzu Di Mare"
"6","1788 Fell St Apt",2016-08-03,2016-08-03,"Faultline Coffee"
"7","5169 Mission St",2019-04-04,2019-04-04,"Pacita's Salvadorean Bakery And Resturaunt"
"8","620 Broadway",2016-08-02,2016-08-02,"Panuchos"
"9","120 Green St",2016-11-22,2016-11-22,"Chica"
"10","685 Harrison St",2019-12-20,2019-12-20,"Dba Prime Roots, Dba Nirvana Kitchen"
"11","301 Clay Street 301",2017-02-02,2017-02-02,"Gambinos Deli Inc"
"12","2948 Folsom St",2016-09-12,2016-09-12,"Oyna Natural Foods"
"13","1871 15th Ave",2018-07-19,2018-07-19,"Donald Perry"
"14","274 El Dorado Drive",2016-11-07,2016-11-07,"Da Poke Man"
"15","1050 Valencia St",2018-06-08,2021-03-01,"Alnico"
"16","428 11th St",2019-07-08,2019-08-13,"Porkie"
"17","998 Guerrero St",2019-09-04,2019-09-04,"The Liberties Bar And Restaurant"
"18","1 Mobile Caterers",2019-06-26,2019-08-21,"Reef Kitchens"
"19","1919 Ocean Ave",2016-06-21,2016-06-21,"Joyful Kitchen"
"20","2211 Filbert Street",2017-10-24,2017-11-10,"Rooster & Rice"
"21","977 Howard St",2016-03-17,2016-03-17,"A-P Bay Area Stores LLC"
"22","1737 Post St Ste 370",2018-02-28,2018-02-28,"Osakaya Restaurant"
"23","127 Stevenson",2016-11-07,2016-11-07,"Tequila Mockingbird"
"24","811 Stockton St",2018-01-01,2018-01-01,"New Fortune Restaurant"
"25","1483 Sutter St 1401",2016-11-12,2016-11-12,"Frolic Bakery"
"26","1550 Howard St",2018-10-04,2018-10-04,"Sushi Ondo"
"27","4401 Balboa St",2017-07-27,2017-07-27,"Feng Ze Yuan Inc."
"28","1 Ferry Building 14a",2017-05-01,2017-05-01,"Donut Farm"
"29","2077 Hayes St",2019-08-20,2019-09-18,"Gochees Pizza - Katani Pizza"
"30","298 Pacific",2016-12-13,2016-12-13,"Old Ship"
"31","423 Bush St",2017-09-25,2017-09-25,"Subway #12181"
"32","1109 Fillmore St",2019-04-24,2019-04-24,"Fillmore Chicken"
"33","2275 San Jose Ave",2016-12-01,2016-12-06,"Aj's Bbq & Cafe"
"34","1355 Market St Ste 180",2019-03-25,2019-06-01,"Cmb Food Group LLC"
"35","601 Mission Bay Blvd",2019-08-20,2020-10-09,"Los Kuyas Catering LLC"
"36","865 Market St",2017-02-09,2017-02-09,"Juice Craze"
"37","1740 Church St",2018-04-10,2018-04-10,"Kenko Cater"
"38","320 Mason St",2019-04-01,2019-04-01,"Mason Diner"
"39","401 Valencia St",2019-01-01,2019-01-01,"Pica Pica"
"40","2760 Octavia St",2019-03-30,2022-02-01,"Echigo Homecook"
"41","1441 S Stockton Street",2019-06-01,2019-06-01,"Cavalli Cafe"
"42","2961 Mission St",2018-01-14,2018-01-14,"The Civic Kitchen"
"43","941 Margaret St",2017-11-20,2017-11-20,"Joshi & Jaffar"
"44","25 Mason St",2019-06-26,2019-08-19,"Vessel Ca Operations"
"45","545 Haight St",2019-07-26,2019-07-26,"Berliner Berliner"
"46","6050 Geary Blvd",2018-12-10,2018-12-10,"Bambu"
"47","3230 Mission St",2017-06-16,2017-06-16,"Emmys Spaghetti Shack"
"48","2069 O'farrell St.",2018-07-10,2018-07-10,"A West African Coffee Company"
"49","Avenue",2017-05-24,2017-05-24,"Max's Opera Cafe"
"50","1914 Irving St",2017-03-01,2017-03-01,"Silver Spur"
"51","201 2nd St",2016-10-01,2016-10-01,"Creperie Saint Germain"
"52","407 Ellis St",2019-01-01,2019-01-01,"Sfnewa"
"53","1 Warriors Way",2019-12-17,2020-01-06,"Way To Life Foods"
"54","Pier 17 The Embarcadero Rm 200",2016-01-22,2016-03-31,"Curiosity Catering"
"55","4100 3rd St",2017-08-14,2017-08-21,"Boug Creole Deli"
"56","3250 Van Ness Ave",2019-12-16,2019-12-16,"Lifeworks @ Williams Sonoma"
"57","280 Newhall St",2016-08-08,2016-08-08,"Yoray's"
"58","200 Hunter's Pt. Shipyard",2018-01-22,2018-05-15,"Eclectic Cookery"
"59","1355 Market St Ste 100",2019-03-25,2022-03-01,"Cabalen Mb Group LLC"
"60","1116 Grant Ave",2017-07-01,2017-07-02,"Man Sung Co."
"61","1200 Gough St 18e",2019-05-20,2019-05-20,"Four Two Love Co."
"62","5300 Mission St",2017-01-06,2019-03-14,"Taqueria Los Amigos"
"63","428 11th St",2016-05-04,2018-07-03,"Poke Delish"
"64","198 Miramonte Dr",2019-10-02,2019-10-02,"K Five Fifty"
"65","1924 9th Ave Apt 310",2016-04-04,2016-04-04,"Rain Sun Food Services"
"66","515 Ofarrell St #23",2016-07-08,2016-07-08,"Madsky"
"67","350 Bush St Ste 200",2018-06-04,2018-07-05,"Guckenheimer @ Twitch Breakroom Floor 9"
"68","5200 Mission St",2017-08-07,2017-08-07,"London"
"69","401 Van Ness Ave",2018-07-23,2018-07-23,"War Memorial Herbst Theatre"
"70","1783 Palou Ave",2019-07-26,2019-07-26,"The Golden Truck"
"71","870 Market St",2019-02-06,2019-02-06,"Chilifruit"
"72","1322 Grove St",2019-02-05,2019-03-05,"Divisadero Cfm"
"73","3318 Carnation Ave",2018-08-10,2018-08-10,"R Douglas Construction, Inc."
"74","1638 22nd Avenue",2019-04-09,2019-04-09,"Regent Thai"
"75","798 Arguello Blvd",2019-01-11,2019-01-29,"Velo Rouge Cafe"
"76","2801 Jennings St",2017-03-01,2017-03-01,"Kitchenina"
"77","498 Alabama St",2019-04-01,2020-10-01,"Hedge Coffee"
"78","795 Valencia St",2019-09-11,2019-09-11,"Gatsbysf"
"79","2520 San Bruno Ave",2016-07-13,2016-07-13,"Dim Sum Kitchen Inc"
"80","1115 Clement St",2017-12-12,2017-12-12,"Dnm Hot Pot"
"81","262 Divisadero St",2017-11-03,2017-11-03,"Native Twins Coffee"
"82","5145 Mission St",2019-09-24,2019-09-24,"Bravo Pizza"
"83","1 Mobile Caterers",2019-06-26,2019-08-21,"Vessel Ca Operations #3"
"84","301 Van Ness Ave",2018-07-23,2018-07-23,"War Memorial Opera House"
"85","2193 Mission St",2017-07-14,2018-12-24,"Hell's Ramen"
"86","220 Bush St",2019-08-13,2019-08-13,"Hi City"
"87","4787 Mission St",2019-06-17,2019-06-17,"North Beach Pizza"
"88","1009 Guerrero St",2019-11-05,2019-11-05,"Fenikkusu"
"89","2379 Chestnut Street St",2017-02-01,2017-02-01,"Cultivar San Francisco"
"90","3515 20th St",2017-08-10,2017-08-10,"Little Kite"
"91","901 Mission St",2018-01-12,2018-01-12,"Fresh Made Cafe"
"92","3295 19th Street",2018-02-20,2018-02-20,"Dish Lama"
"93","2261 Market St Unit 30",2017-03-04,2017-03-08,"Seven Saints Superfoods"
"94","38 Teddy Ave",2019-03-19,2022-01-03,"Twirl And Dip"
"95","3516 Balboa St",2019-04-17,2019-04-18,"Teacup & Sandwiches"
"96","1 Market, Spear Tower St Fl 36",2017-06-06,2017-06-06,"532 Market Street"
"97","2020 Kittredge St Apt 315",2018-04-03,2018-04-03,"Your Way To Life Foods"
"98","5827 Geary Blvd",2018-09-19,2018-09-19,"An Chi"
"99","2175 Market St",2016-03-24,2016-03-24,"Noname Sushi"
"100","1055 California St Apt 3",2016-08-01,2016-08-15,"Vegan Picnic"
"101","1935 Taraval St",2019-03-26,2019-03-26,"Dumpling Kitchen"
"102","1123 Folsom St",2019-03-15,2019-03-15,"Sf Chickenbox"
"103","1555 Mission St",2016-09-30,2016-09-30,"Zaoh Restaurant"
"104","645 Irving St",2019-03-17,2019-03-17,"Yifang Sunset"
"105","6438 Geary Blvd Ave Apt 308",2017-05-17,2017-05-17,"Falak Biryani Palace"
"106","1000 Guerrero St",2018-05-25,2018-05-25,"Kitchen Guerrero"
"107","101 Hyde St 21",2018-11-07,2020-01-27,"Kayma"
"108","2379 Chestnut St",2016-03-29,2016-03-29,"Cultivar"
"109","785 8th Ave",2016-10-28,2016-10-28,"Rise & Grind"
"110","1829 Union St",2018-01-20,2018-01-20,"Crystal Ann Ianu"
"111","50 Fremont St Fl 25/26",2017-12-27,2019-03-21,"Aramark Rfs At Salesforce"
"112","811 Stockton St",2018-01-01,2018-01-01,"New Fortune Dim Sum"
"113","2926 Laguna St",2018-02-01,2018-02-01,"Kween"
"114","535 Green",2019-06-26,2019-09-18,"Reef Kitchens"
"115","250 Divisadero St",2019-01-07,2019-01-07,"Tea & Others"
"116","1510 Virginia St",2018-01-09,2018-01-09,"Greek Town, LLC"
"117","1 United Nations Plz",2018-05-14,2018-05-15,"Laguna Garden Bakery"
"118","4451 Mission St Unit 202",2017-08-11,2017-08-11,"Bird Pepper"
"119","3322 Mission St",2019-06-03,2019-06-03,"El Paisa Sf, Inc."
"120","438 Flood Ave",2018-11-02,2018-11-02,"The Boost Box"
"121","103 Horne Ave",2017-10-17,2017-11-09,"J & D's Bbq"
"122","3109 24th St",2018-03-03,2018-03-03,"24th And Folsom Eatery"
"123","850 Jones St",2016-12-09,2016-12-09,"San Francisco Rinse"
"124","1846 48th Ave Bldg",2019-04-02,2019-04-02,"Avast Bakeshop"
"125","2001 Market Street",2018-11-12,2018-11-12,"Taylor Lane Organic Coffee"
"126","1298 12th Ave",2017-06-12,2017-06-12,"Irving Subs"
"127","2948 Folsom St",2016-07-08,2017-08-02,"Madsky"
"128","1380 Fell St Apt 2",2019-07-01,2019-07-01,"Fox Hunt Events"
"129","526 Ellis St Apt 26",2019-06-01,2019-06-01,"Chaitip Purnindu"
"130","3251 20th Ave",2017-08-11,2018-04-11,"Obour Foods, LLC"
"131","337 Jones St",2017-01-11,2017-01-11,"Lin's Kitchen"
"132","800 Van Ness Ave",2017-12-21,2023-06-12,"Yasijang"
"133","746 Geary St 403",2018-07-05,2018-07-06,"Tacothai"
"134","711 Geary St",2017-03-01,2023-02-23,"Kokio Republic"
"135","815 Clement St",2016-09-02,2016-09-02,"Tasty Pot"
"136","4054 24th St",2016-01-13,2016-01-13,"The Valley Tavern"
"137","630 Sansome St",2018-11-08,2018-11-08,"The Spot"
"138","162 Fairmont Ave",2019-08-01,2019-08-01,"Crazy-Fusion LLC"
"139","2 Marina Blvd",2017-08-01,2017-08-01,"Equator Coffees"
"140","100 Gough St",2016-02-10,2016-02-10,"Baiano Pizzeria Hayes Valley"
"141","867 South Van Ness",2016-10-18,2017-05-18,"Pearl Butter"
"142","4300 Redwood Hwy. Ste 100",2018-10-23,2018-10-23,"Green Beans Coffee"
"143","302 Madison St",2019-07-23,2019-07-23,"Nick's On Mission"
"144","355 11th St Ste 100",2016-07-26,2016-07-26,"Agricole II LLC"
"145","474 3rd St",2017-11-02,2017-11-29,"Chullo"
"146","2312 Market St",2019-12-17,2020-01-02,"Taco Boys"
"147","699 5th St",2019-09-06,2019-11-08,"Sam Choy's Poke To The Max"
"148","1661 Tennessee St Ste 3-O",2019-05-01,2019-05-01,"Jackrabbit Kitchen"
"149","316 11th Street",2019-08-13,2019-08-13,"Bergerac"
"150","1155 Battery St",2016-11-07,2024-03-25,"Da Poke Man"
"151","125 3rd St",2016-11-30,2016-11-30,"St. Regis Lobby Lounge"
"152","1740 Cesar Chavez St Unit 2w",2019-06-26,2019-07-03,"Reef Kitchens"
"153","318 Kearny St",2017-03-01,2017-03-01,"La Flamme"
"154","254 Jules Ave",2017-01-01,2017-01-01,"Meritage"
"155","3730 Haig St Apt 3",2018-08-16,2018-08-16,"Turontastic"
"156","4230 18th St",2018-03-30,2018-03-30,"Bite Me Sandwiches"
"157","4063 24th St.",2018-03-08,2018-03-08,"Chez Marius"
"158","478 Green St",2019-12-05,2019-12-05,"Bar Escondido"
"159","550 Montgomery St Fl 10",2016-03-25,2022-06-21,"The Corbeaux Lounge"
"160","75 Dore St Apt 326",2018-12-04,2018-12-04,"Scotty's Louisiana Pralines"
"161","1599 Howard St",2019-04-16,2019-04-16,"Howard Taps & Banh Mi Po' Boy"
"162","2370 Market Street, Ste 103, Box #434",2018-11-02,2018-11-02,"2nd Parallel Coffee"
"163","1 Mobile Caterers",2019-06-26,2019-08-21,"Reef Kitchens"
"164","45 Lansing St Apt 3511",2019-03-27,2019-03-27,"Chicken Af"
"165","415 Mission St Fl 15/16",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"166","4384 Mission St",2016-04-28,2018-12-14,"Tacos Y Pupusas Los Trinos"
"167","1503 15th St",2017-03-29,2017-03-29,"Khamsa"
"168","144 Leland Ave",2019-01-04,2019-01-04,"Mission Blue"
"169","870 Market St",2019-02-06,2024-10-28,"Fruitymania2"
"170","24 Willie Mays Pl View Level Sec 311",2018-03-09,2018-03-15,"95312 C & C Concessions/Portable 311 Lemonade Snack Cart"
"171","3251 20th Ave Ste 218",2019-06-22,2019-06-22,"Tang Bar By Dainty"
"172","562 Green",2019-12-04,2019-12-04,"Columbus Cafe"
"173","2443 Fillmore St",2017-03-13,2017-03-13,"John Judicki"
"174","3380 19th St",2019-04-29,2019-04-30,"Kimbara"
"175","4300 Judah St",2018-07-01,2018-07-01,"Beachside 4300"
"176","530 Potrero Ave #203",2016-07-01,2016-07-01,"Mama Lamees"
"177","2241 Chestnut St",2018-05-16,2018-05-16,"Eddie's Bar Car"
"178","955 Larkin St",2018-06-18,2018-06-18,"Ping & Yang"
"179","1474 Innes Ave",2016-06-01,2016-06-01,"Cafe De La Diaspora"
"180","1740 Church St",2018-03-28,2018-03-28,"Kenko: Sustainable Sushi Catering"
"181","210 Jones St",2018-03-23,2018-03-23,"Grits"
"182","838 Sansome St 51",2017-01-31,2017-01-31,"Nino Leonard Jt Yosinao"
"183","1799 Church St",2017-09-01,2017-09-01,"Cafe Xo Noe Valley LLC"
"184","50 Fremont St",2017-12-27,2019-03-13,"Aramark At Salesforce"
"185","881 Post St",2017-05-15,2022-12-21,"Sammie Cafe"
"186","15500 Lorenzo Ave",2016-10-27,2016-10-27,"Robert Mckinzy"
"187","1325 Lincoln Way",2018-08-08,2018-08-08,"Culture Pantry, Inc."
"188","98 Thrift St",2018-04-04,2018-04-04,"Scramble SF"
"189","3463 16th St",2018-08-07,2018-08-07,"Gai"
"190","800 Van Ness Ave Bldg",2017-12-21,2017-12-21,"Ike's Kitchen"
"191","500 Columbus Ave",2018-06-11,2018-10-01,"Captain Kona Cafe"
"192","394 Henderson Dr",2016-01-22,2016-01-22,"The Waffle Roost"
"193","112 Waverly Pl",2017-05-19,2019-05-02,"Irving Subs"
"194","1112 N Larkin N St Apt 403",2019-03-04,2019-03-04,"Food Delivery Driver"
"195","393 Eddy St",2018-04-24,2018-06-08,"Krispy Krunchy Chicken"
"196","605 Kearny St",2019-06-19,2019-06-19,"Ohana Poke And Salad Bar"
"197","1890 Bryant Street St Ste 100",2017-09-29,2017-09-29,"Coffee Bar"
"198","1447 Pacific",2017-05-15,2017-05-15,"Kookies"
"199","834 Divisadero St",2017-08-15,2017-08-15,"Theorita"
"200","126 Sutter St",2017-03-15,2017-03-15,"The Meatball Bar"
"201","607 Geary Street St",2019-06-10,2019-06-10,"Kinara Kitchen Inc"
"202","3251 20th Ave",2018-02-06,2018-02-06,"Eggxotic"
"203","3128 16th St",2016-02-24,2017-09-13,"Ushio Ramen"
"204","3414 22nd St",2019-02-19,2020-01-08,"Acai R"
"205","1360 9th Ave",2018-12-21,2018-12-21,"Nan King Road Bistro"
"206","2198 Market St",2019-04-15,2019-04-15,"Willkommen"
"207","103 Montgomery St",2019-04-14,2019-04-14,"Beans N Barbells"
"208","993 Mission St",2018-10-23,2018-10-23,"The Pawn Shop"
"209","1014 Clement St",2019-12-05,2019-12-05,"Diamond Coffee N Pastry"
"210","415 Mission St Fl 5/6",2017-12-27,2019-03-21,"Aramark Rfs At Salesforce"
"211","1 Ferry Bldg",2016-09-29,2017-03-16,"Aedan,LLC"
"212","1 Ferry Building Ste 50",2016-09-12,2017-09-20,"Oyna Natural Foods"
"213","2948 Folsom St",2018-05-18,2018-05-18,"Pass The Sauced, LLC"
"214","1489 Webster St Apt 710",2019-03-12,2019-05-21,"Roots And Craft Tea Roasters"
"215","951 Ofarrell St 49",2019-08-22,2019-08-22,"Kenny's Bar.B.Q"
"216","203 Folsom Street",2017-06-22,2017-06-22,"Kikka At Woodlands Market"
"217","466 Eddy St",2016-11-11,2016-11-11,"Rrosales Cmt"
"218","1 Ferry Plz Unit 3",2017-08-11,2021-08-17,"Obour Foods, LLC"
"219","1600 Guerrero St",2018-04-01,2018-04-01,"La Catrachita"
"220","200 6th Ave",2018-09-28,2018-10-01,"Mini Fish"
"221","298 Market St",2016-09-09,2016-09-09,"Seismic Coffee"
"222","63 Powell St",2016-06-01,2016-06-01,"Ike's Press"
"223","268 Lowell St",2018-09-17,2018-09-17,"Susan Mean"
"224","621 Kearny St",2019-07-01,2019-07-01,"Good Luck Market & Deli"
"225","3299 Mission St",2018-05-31,2018-05-31,"Pizzahacker"
"226","4036 Balboa Street",2019-11-09,2019-11-09,"Kazoku Sushi"
"227","205 Frederick St",2017-03-26,2017-03-26,"Grace & Gusto Cakes And Confections"
"228","3161 24th St",2017-02-28,2017-02-28,"Foxsister"
"229","2601 46th Ave",2016-07-21,2016-07-21,"Chao Yan Lee"
"230","1000 Cortland Ave",2016-08-31,2016-08-31,"Skillshot Pinhall"
"231","650 Jackson St",2017-04-16,2023-02-16,"Fusion Dumpling"
"232","3515 20th St",2018-10-10,2018-12-31,"Yoji House"
"233","1730 Yosemite Ave",2017-10-11,2017-10-11,"Greaser Coffee"
"234","3015 Mission St",2017-07-03,2017-07-03,"El Aji LLC"
"235","362 Columbus Ave",2017-10-20,2019-03-12,"Dba Family"
"236","147 Parnassus Ave",2018-09-02,2023-12-12,"Phill's Phire Phoods"
"237","846 Geary St",2019-08-14,2019-08-14,"Global Cuisine"
"238","1750 Doolittle Dr",2016-05-27,2016-05-27,"Hummus Heaven"
"239","2 Marina Blvd",2018-08-06,2018-08-06,"Radhaus"
"240","415 Mission St Fl 13",2016-04-15,2018-10-08,"Fare Resources Inc."
"241","699 Columbus Ave",2018-10-05,2019-06-26,"Saltwater Bakeshop"
"242","115 Moncada Way",2016-10-01,2017-08-10,"The Holife Inc"
"243","101 Waller St Apt 347",2018-01-03,2018-01-03,"Jie Ying"
"244","601 Mission Bay N Blvd",2016-06-16,2016-06-16,"Kafae Coffee, LLC"
"245","1455 Market St Unit 400",2016-07-31,2016-10-10,"Uber Eats"
"246","3560 18th St",2018-11-07,2022-01-01,"Epicer LLC Dba Good Good Culture Club"
"247","1350 Church St",2016-07-22,2016-07-22,"Lovejoy's"
"248","2852 Diamond St",2019-05-01,2019-05-01,"Pebble's Cafe SF"
"249","4 Embarcadero Ctr R4116",2016-03-17,2017-01-25,"The Organic Coup"
"250","2120 Greenwich St",2019-03-20,2019-03-20,"U :Dessert Story"
"251","1224 Bayside Dr C",2018-01-15,2018-01-15,"Luis C. Escobar"
"252","60 Morris St Bldg",2019-09-13,2020-04-01,"Palmetto Superfoods"
"253","243 Montgomery St",2019-05-01,2022-02-15,"Superfine Kitchen"
"254","1527 Stockton St Fl 2",2017-03-01,2017-03-01,"Liguria, LLC"
"255","2368 3rd St",2017-12-11,2017-12-11,"Aura Lounge & Restaurant"
"256","399 5th St",2018-05-11,2018-05-11,"Allstars Donuts"
"257","103 Horne Ave",2017-03-24,2017-03-28,"Rebellion Dogs Bakery"
"258","1235 9th Ave",2017-09-14,2019-03-04,"Queens SF"
"259","250 Hyde St",2018-10-12,2018-10-12,"Barnzu Korean Tapas"
"260","155 Jefferson St Bldg",2017-10-30,2023-12-20,"Pollo Campero"
"261","138 Noe St Apt",2018-09-02,2018-09-03,"Guaclyfentertainment, LLC"
"262","2878 24th St",2018-08-15,2018-08-15,"Sake Bomb"
"263","1155 4th St",2016-12-19,2018-11-26,"Joe & The Juice"
"264","50 Fremont St Fl 16/17",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"265","1452 Franklin St",2018-11-01,2018-11-01,"Klatch Coffee - SF"
"266","2436 40th Ave",2017-01-23,2017-01-23,"North Border Taco"
"267","900 Grant Ave",2018-12-17,2018-12-17,"Magical Ice Cream"
"268","185 Miriam St",2019-11-19,2019-11-19,"Postmates"
"269","255 Jayne Ave Apt 204",2019-05-08,2019-05-08,"Izakaya Mayumi"
"270","200 Clement St",2017-08-31,2017-08-31,"Clement Street Farmers Market"
"271","428 11th St",2018-01-11,2018-07-19,"Domingo's International Kitchen And Fusion"
"272","4023 18th St",2019-08-27,2019-08-27,"Qualitea"
"273","323 Sweeny St",2019-03-06,2019-03-06,"Tart Mama"
"274","900 North Point Street B201a",2019-01-04,2019-01-04,"Palette Tea House"
"275","5209 Victor Ave",2018-10-14,2018-10-14,"Superstar Delivery"
"276","393 Eddy St",2018-02-01,2018-02-05,"Chiken Broaster"
"277","335 Kearny St",2017-12-15,2017-12-15,"Foundation Spirits"
"278","300 De Haro St Ste 342",2016-05-01,2016-05-01,"Sfcoremeals"
"279","6390 N. Duncan Rd",2018-08-21,2018-08-21,"Los Compas Catering"
"280","2301 Fillmore St",2017-03-30,2017-03-30,"The Snug"
"281","2173 California St Apt 102",2019-02-18,2019-02-18,"California Flour"
"282","1581 Webster St 270",2019-01-01,2019-01-04,"Izumiya Restaurant"
"283","25 Mason St",2018-04-09,2018-04-09,"Isla Vida"
"284","2 Townsend St Bldg #1 #106",2018-03-01,2018-03-01,"Foodsource Dist"
"285","2633 23rd St",2016-04-25,2016-04-25,"Fresh Start #1"
"286","1206 Masonic Ave",2019-12-23,2019-12-23,"Coffee To The People`"
"287","545 Point Lobos Ave",2019-05-15,2024-09-27,"Seal Rock"
"288","1310 Grant Ave",2019-10-18,2019-10-18,"Yarsa Nepalese Cuisine"
"289","151 3rd St",2016-02-10,2016-02-10,"In Situ"
"290","3053 Fillmore St 328",2019-02-23,2019-02-23,"Heritage Roots Farms LLC"
"291","1080 San Mateo Ave",2016-03-11,2017-01-23,"Jackson Catering & Events"
"292","1301 Mission St",2016-03-16,2016-03-16,"Coffee Cultures Soma"
"293","261 Alta Mesa Drive",2017-08-07,2017-08-07,"Dosa Allee"
"294","393 Eddy St",2018-02-05,2018-02-05,"Chicken Broaster Express"
"295","1 Avenue Of The Palms Ave Ste 21",2016-05-24,2016-05-24,"Tammy's Chicken In Waffles"
"296","3149 22nd St",2018-05-22,2018-05-22,"El Trebol Sports Bar"
"297","1 Mobile Caterers",2019-06-26,2019-08-21,"Vessel Ca Operations #4"
"298","1563 D Street Apt 10",2016-05-31,2016-05-31,"Halal Cart SF"
"299","165 Cypress St",2017-07-31,2017-07-31,"Somos Coffee LLC"
"300","240 S Wildwood",2019-01-18,2019-01-18,"Sfstreetfood"
"301","398 12th Street",2020-01-01,2020-01-01,"Sf Eagle"
"302","235 Montgomery Street",2016-12-19,2017-05-17,"Joe & The Juice"
"303","865 Market St",2017-08-01,2017-08-01,"Frujuice"
"304","22 Peace Plz Unit 533",2018-08-17,2018-08-17,"Tasty Delight"
"305","101 Montgomery Street St Ste 100c",2018-10-08,2018-10-08,"Coffee Bar"
"306","1384 11th Ave",2018-07-24,2018-07-24,"Mission Blue"
"307","1621 Polk St",2019-04-15,2024-10-01,"Bob's Donuts & Pastries"
"308","2948 Folsom St",2017-07-18,2017-07-18,"Mermaid Poke"
"309","2 Marina Blvd",2016-01-22,2023-03-01,"The Waffle Roost #2"
"310","325 Demeter St",2019-08-01,2019-08-01,"Catered Too"
"311","2172 Market St",2017-08-16,2017-08-16,"Wooden Spoon"
"312","2109 Clement St",2019-01-01,2019-01-01,"Pho Lien Phat Vietnamese Restaurant"
"313","3153 17th St",2018-11-07,2018-11-07,"Robins Cafe LLC"
"314","121 Spear St",2018-06-11,2018-06-15,"Guckenheimer @ Google - Rincon Coffee Bar"
"315","1293 18th Ave",2019-06-08,2019-06-08,"Poppy Bagels"
"316","3324 Steiner St",2018-05-14,2018-05-14,"Isa"
"317","35 Kearny St",2019-07-09,2021-02-01,"Katsu Kitchen"
"318","704 Valencia Street",2018-08-16,2018-08-16,"Flour + Water Pizzeria"
"319","311 California St",2019-03-15,2019-03-20,"Bamboo Asia"
"320","2841 Gough St",2017-01-22,2017-01-22,"Happy Vegan Cakes"
"321","2155 Bayshore Blvd",2016-03-03,2019-01-21,"Piccolo Petes Cafe"
"322","1 Warriors Way",2019-06-10,2019-08-12,"Sweet Belly"
"323","231 Beacon St",2018-08-01,2018-08-01,"Spark Coffee"
"324","1701 Yosemite Ave",2018-08-01,2018-08-01,"Cafe Envy"
"325","684 King St",2017-07-06,2017-07-06,"I'a Poke"
"326","1581 Webster St #150",2017-05-01,2019-06-28,"Jina Bakes"
"327","2241 Geary Blvd",2017-12-16,2017-12-16,"Binka Bites"
"328","1063 Market St",2017-12-06,2017-12-07,"Raavi Indian Nepalese"
"329","344 Tully Rd",2019-01-04,2019-01-04,"Sarah's Latin Taste"
"330","Apt 01 St 1",2019-08-20,2019-08-20,"5 Friends Pizza"
"331","328 West Portal Ave",2016-01-05,2016-01-05,"The Dubliner West Portal"
"332","103 Horne Ave",2019-06-10,2020-01-21,"Aroy Thai"
"333","1115 Clement St",2017-03-23,2017-05-16,"Mr Spicy Seafood"
"334","3859 24th St",2018-10-25,2019-05-09,"Billingsgate"
"335","3154 Fillmore St",2018-05-01,2018-05-01,"Cow Marlowe Sf LLC"
"336","4101 3rd St",2017-08-14,2018-03-01,"Boug Creole Deli"
"337","1740 Cesar Chavez Street Unit 2w",2019-06-26,2019-07-03,"Reef Kitchens; Fork & Ladle"
"338","1370 N St Andrews Pl",2019-05-21,2022-05-05,"Mise En Place"
"339","825 Minnesota St Apt 7",2018-07-01,2018-07-01,"Crepe Em Coming"
"340","201 Steiner St",2017-06-27,2017-08-29,"Cafe Reveille"
"341","1595 Noe St Apt 4",2016-04-07,2016-04-07,"Suecooks Mustard"
"342","1350 Church St",2016-07-22,2016-07-22,"Lovejoy's Tea Room"
"343","2545 24th St",2016-11-17,2017-09-11,"Junior"
"344","777 Valencia St",2019-01-01,2019-01-01,"Sf Chapel"
"345","402 Balboa St",2018-10-08,2018-10-08,"Usagi"
"346","111 Lilienthal Ave",2019-05-21,2023-10-01,"Mise En Place"
"347","133 N 6th Street St",2018-10-09,2018-10-09,"Falafelland"
"348","280 Valencia St",2018-03-08,2018-03-08,"Dancing Yak Inc."
"349","2870 Kaiser Dr #408",2016-10-06,2017-04-01,"Korean Bobcha"
"350","2351 Mission St",2019-07-01,2019-07-05,"Casement's"
"351","2948 Folsom St",2017-07-21,2017-07-21,"Noodle Girl LLC"
"352","708 Polk St",2017-12-18,2017-12-18,"Nokturnal"
"353","1700 O'farrell St",2019-07-15,2019-10-16,"Delightful Foods"
"354","667 Monterey Blvd",2018-11-07,2018-11-07,"World Of Noodle 1"
"355","2 Marina Blvd",2019-06-10,2020-08-20,"Aroy Thai"
"356","380 Bush St Ste 1",2016-08-31,2022-06-23,"Tacos Yucatown"
"357","205 Franklin St",2017-02-09,2017-02-09,"B-Side"
"358","4134 Geary Blvd",2016-12-26,2016-12-26,"Overtime"
"359","141 Bertita St",2018-03-30,2018-03-30,"Gregory Ayers Foods"
"360","120 Montgomery St",2016-09-26,2017-05-12,"Iku Sushi"
"361","32 Agua Way",2016-04-11,2016-04-11,"Boba Party"
"362","3170 16th St",2017-08-30,2017-12-14,"Big Lantern"
