"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"300","1550 BRYANT ST",1915,"Mission",9
"301","1035 HOWARD ST",1930,"South of Market",6
"302","50 CALIFORNIA ST",1971,"Financial District/South Beach",3
"303","2500 18TH ST",1925,"Mission",9
"304","251 FRONT ST",1911,"Financial District/South Beach",3
"305","51 3RD ST",1970,"Financial District/South Beach",6
"306","2 CALIFORNIA ST",1908,"Financial District/South Beach",3
"307","2165 MISSION ST",1922,"Mission",9
"308","38 BRYANT ST",1994,"Financial District/South Beach",6
"309","1215 MARKET ST",1911,"South of Market",6
"310","278 POST ST",1910,"Financial District/South Beach",3
"311","228 POST ST",1909,"Financial District/South Beach",3
"312","900 GEARY ST",1909,"Tenderloin",3
"313","245 VALENCIA ST",1995,"Mission",9
"314","126 POST ST",1909,"Financial District/South Beach",3
"315","244 JACKSON ST",1913,"Financial District/South Beach",3
"316","256 SUTTER ST",1911,"Financial District/South Beach",3
"317","119 ELLIS ST",1907,"Tenderloin",3
"318","365 VERMONT ST",1984,"Mission Bay",10
"319","450 PACIFIC AVE",1906,"North Beach",3
"320","1601 19TH AVE",2002,"Sunset/Parkside",4
"321","875 LA PLAYA",1983,"Outer Richmond",1
"322","1 BURNETT AVE",1983,"Twin Peaks",8
"323","88 KING ST",2000,"Mission Bay",6
"324","2598 TAYLOR ST",1986,"North Beach",3
"325","77 NEW MONTGOMERY ST",1907,"Financial District/South Beach",6
"326","1150 LOMBARD ST",1989,"Russian Hill",3
"327","737 FOLSOM ST",1988,"South of Market",6
"328","800 INDIANA ST",2015,"Potrero Hill",10
"329","2186 GEARY BLVD",1984,"Japantown",5
"330","133 KEARNY ST",1910,"Financial District/South Beach",3
"331","150 OAK ST",1948,"Hayes Valley",5
"332","666 POST ST",NA,"Nob Hill",3
"333","10 29TH ST",2004,"Bernal Heights",9
"334","141 COLUMBUS AVE",1905,"Chinatown",3
"335","3075 17TH ST",1923,"Mission",9
"336","64 GOUGH ST",1911,"Hayes Valley",6
"337","1890 BROADWAY",1938,"Pacific Heights",2
"338","330 ELLIS ST",1930,"Tenderloin",5
"339","832 FOLSOM ST",1986,"South of Market",6
"340","45 POWELL ST",1909,"Tenderloin",3
"341","295 BAY ST",1968,"North Beach",3
"342","1223 Webster St",1996,"Western Addition",5
"343","530 5TH ST",1925,"South of Market",6
"344","10 MILLER PL",1963,"Chinatown",3
"345","8 OCTAVIA ST",2014,"Hayes Valley",6
"346","1050 17TH ST",2002,"Mission Bay",10
"347","601 MINNESOTA ST",1937,"Potrero Hill",10
"348","777 FLORIDA ST",1902,"Mission",9
"349","2000 MCKINNON AVE",1940,"Bayview Hunters Point",10
"350","240 7TH ST",1955,"South of Market",6
"351","550 MONTGOMERY ST",1931,"Chinatown",3
"352","701 3rd St",NA,"Mission Bay",6
"353","291 EDDY ST",1925,"Tenderloin",5
"354","2032 POLK ST",1907,"Russian Hill",3
"355","1407 9TH AVE",1914,"Inner Sunset",7
"356","945 FRONT ST",1955,"Financial District/South Beach",3
"357","300 DE HARO ST",1984,"Mission Bay",10
"358","711 VAN NESS AVE",1984,"Western Addition",2
"359","2200 MISSION ST",2009,"Mission",9
"360","1881 POST ST",1967,"Japantown",5
"361","601 ARBALLO DR",1942,"Lakeshore",7
"362","525 BRANNAN ST",1917,"South of Market",6
"363","16 JESSIE ST",1906,"Financial District/South Beach",6
"364","1050 NORTH POINT ST",1961,"Russian Hill",2
"365","2901 PACIFIC AVE",1907,"Pacific Heights",2
"366","1801 VAN NESS AVE",1920,"Pacific Heights",2
"367","555 MISSION ST",2008,"Financial District/South Beach",6
"368","17 GRANT AVE",1909,"Financial District/South Beach",3
"369","990 COLUMBUS AVE",1915,"North Beach",3
"370","900 7TH ST",1974,"Mission Bay",6
"371","146 GEARY ST",1907,"Financial District/South Beach",3
"372","4444 GEARY BLVD",1915,"Inner Richmond",1
"373","439 STEVENSON ST",1924,"South of Market",6
"374","THE EMBARCADERO #0003",1900,"Financial District/South Beach",3
"375","1800 PACIFIC AVE",1960,"Pacific Heights",2
"376","250 Howard St",NA,"Financial District/South Beach",6
"377","275 5TH ST",1965,"South of Market",6
"378","718 LONG BRIDGE ST",NA,"Mission Bay",6
"379","101 EDDY ST",1917,"Tenderloin",5
"380","45 PIER - SHED A",1900,"North Beach",3
"381","390 BAY SHORE BLVD",1937,"Bernal Heights",9
"382","182 2ND ST",1909,"Financial District/South Beach",6
"383","300 CLAY ST",1967,"Financial District/South Beach",3
"384","334 BRANNAN ST",1929,"Financial District/South Beach",6
"385","350 MISSION ST",1923,"Financial District/South Beach",6
"386","359 HYDE ST",1916,"Tenderloin",5
"387","55 GREEN ST",1984,"Financial District/South Beach",3
"388","156 2ND ST",1908,"Financial District/South Beach",6
"389","875 STEVENSON ST",1975,"South of Market",6
"390","1 POLK ST",2008,"Tenderloin",6
"391","728 PACIFIC AVE",1985,"Chinatown",3
"392","35 SOUTH PARK",1920,"Financial District/South Beach",6
"393","1663 MARKET ST",1921,"Mission",6
"394","25 MASON",1911,"Tenderloin",5
"395","151 Alice B Toklas Pl",1920,"Tenderloin",5
"396","1650 PACIFIC AVENUE",1922,"Russian Hill",3
"397","101 HENRY ADAMS ST",1906,"Mission Bay",6
"398","2 LAKE STREET",1926,"Inner Richmond",1
"399","1000 MASON ST",1926,"Nob Hill",3
"400","1333 GOUGH ST",1966,"Japantown",2
"401","125 3RD ST",2005,"Financial District/South Beach",6
"402","1700 POST ST",1971,"Japantown",5
"403","500 POST ST",1987,"Nob Hill",3
"404","1101 FAIRFAX AVE",NA,"Bayview Hunters Point",10
"405","535 PACIFIC AVE",1907,"Chinatown",3
"406","681 ELLIS ST",1927,"Tenderloin",5
"407","1415 BANCROFT AVE",1957,"Bayview Hunters Point",10
"408","535 SUTTER ST",1921,"Nob Hill",3
"409","500 BEACH ST",1974,"North Beach",3
"410","799 VAN NESS AVE",1917,"Western Addition",2
"411","1530 LOMBARD ST",1977,"Marina",2
"412","145 9TH ST",1924,"South of Market",6
"413","135 4TH ST",0,"Financial District/South Beach",6
"414","1300 FILLMORE ST",2007,"Western Addition",5
"415","1818 HARRISON ST",1924,"Mission",9
"416","898 PENNSYLVANIA AVE",1979,"Potrero Hill",10
"417","300 ALEMANY BLVD",1958,"Bernal Heights",9
"418","350 PARNASSUS AVE",1968,"Inner Sunset",8
"419","1950 GOUGH ST",1926,"Pacific Heights",2
"420","333 BRYANT ST",1920,"Financial District/South Beach",6
"421","685 MARKET ST",1906,"Financial District/South Beach",6
"422","1825 POST ST",1967,"Japantown",5
"423","102 CARDENAS AVE",1942,"Lakeshore",7
"424","1180 HOWARD ST",2003,"South of Market",6
"425","1089 MARKET ST",1920,"South of Market",6
"426","1360 MISSION ST",0,"South of Market",6
"427","1828 MARKET ST",2014,"Hayes Valley",8
"428","425 BUSH ST",1908,"Financial District/South Beach",3
"429","250 STOCKTON ST",1908,"Financial District/South Beach",3
"430","1401 MISSION ST",2016,"South of Market",6
"431","2707 PINE ST",1969,"Pacific Heights",2
"432","2031 IRVING ST",1950,"Sunset/Parkside",4
"433","376 BRANNAN ST",1908,"Financial District/South Beach",6
"434","1188 FRANKLIN ST",1973,"Western Addition",2
"435","600 Fillmore St",1906,"Hayes Valley",5
"436","120 KEARNY",1982,"Financial District/South Beach",3
"437","625 MONTEREY BLVD",1942,"West of Twin Peaks",7
"438","553 VALENCIA ST",1907,"Mission",9
"439","2741 16TH ST",1942,"Mission",9
"440","540 9TH ST",1945,"South of Market",6
"441","998 INDIANA ST",1960,"Potrero Hill",10
"442","863 BUSH ST",1911,"Nob Hill",3
"443","440 VALENCIA ST",1994,"Mission",9
"444","250 Broadway",1920,"Financial District/South Beach",3
"445","245 MARKET STREET",1929,"Financial District/South Beach",6
"446","1625 EDDY ST",1969,"Western Addition",5
"447","1896 PACIFIC AVE",1924,"Pacific Heights",2
"448","2090 EVANS ST.",1956,"Bayview Hunters Point",10
"449","1 BRADY ST",2022,"Mission",6
"450","1530 BUCHANAN ST",1935,"Western Addition",5
"451","1701 JACKSON ST",2001,"Pacific Heights",2
"452","136-138 KING ST",2017,"Mission Bay",6
"453","2600 MISSION ST",1920,"Mission",9
"454","435 BRANNAN ST",1910,"South of Market",6
"455","635 PINE ST",1924,"Financial District/South Beach",3
"456","660 3RD ST",1902,"South of Market",6
"457","701 POST ST",1910,"Tenderloin",3
"458","450 HARRISON ST",1949,"Financial District/South Beach",6
"459","1 MARKET ST",1917,"Financial District/South Beach",6
"460","57 POST ST",1909,"Financial District/South Beach",3
"461","310 TOWNSEND ST",2006,"South of Market",6
"462","825 MARKET ST",1908,"South of Market",6
"463","300 Gaven St",1960,"Portola",9
"464","890 BUSH ST",1919,"Nob Hill",3
"465","2200 SACRAMENTO ST",1964,"Pacific Heights",2
"466","342 Columbus Ave",1908,"North Beach",3
"467","845 MARKET ST",2006,"South of Market",6
"468","650 HARRISON ST",1940,"Financial District/South Beach",6
"469","235 MONTGOMERY ST",1927,"Financial District/South Beach",3
"470","3600 GEARY BLVD",1923,"Presidio Heights",2
"471","53 BLUXOME ST",1917,"South of Market",6
"472","150 GREEN ST",1919,"Financial District/South Beach",3
"473","125 MASON ST",NA,"Tenderloin",5
"474","352 OCEAN AVE",1921,"Outer Mission",11
"475","505 SANSOME ST",1981,"Chinatown",3
"476","2000 BROADWAY",1974,"Pacific Heights",2
"477","640 TEXAS ST",2006,"Potrero Hill",10
"478","25 14TH ST",1924,"Mission",9
"479","1278 INDIANA ST",2004,"Potrero Hill",10
"480","1095 MARKET ST",1905,"South of Market",6
"481","1301 POST ST",1993,"Western Addition",2
"482","645 HOWARD ST",2010,"Financial District/South Beach",6
"483","5815 3RD ST",1925,"Bayview Hunters Point",10
"484","658 MISSION ST",1906,"Financial District/South Beach",6
"485","1300 BRYANT ST",1962,"Mission",6
"486","2395 Golden Gate Ave",1921,"Lone Mountain/USF",1
"487","101 CRESCENT WAY",2001,"Bayview Hunters Point",10
"488","825 HOWARD ST",1971,"South of Market",6
"489","620 4TH ST",1907,"South of Market",6
"490","445 HAMPSHIRE ST",1924,"Mission",9
"491","1409 SUTTER ST",1881,"Western Addition",2
"492","256 FRONT ST",2000,"Financial District/South Beach",3
"493","2000 VAN NESS AVE",1909,"Russian Hill",3
"494","501 1ST ST",1990,"Financial District/South Beach",6
"495","5 EMBARCADERO CENTER",1972,"Financial District/South Beach",3
"496","181 Sanchez St",2017,"Castro/Upper Market",8
"497","425 BRANNAN ST",1924,"South of Market",6
"498","1870 JACKSON ST",1930,"Pacific Heights",2
"499","184 Hooper St",2008,"Mission Bay",6
"500","1070 GREEN ST",1961,"Russian Hill",3
"501","900 Front St",1973,"Financial District/South Beach",3
"502","100 HARRISON ST",1942,"Financial District/South Beach",6
"503","730 POLK ST",1922,"Tenderloin",5
"504","1095 Hyde",1961,"Nob Hill",3
"505","507 POLK ST",1910,"Tenderloin",5
"506","1315 EGBERT AVE",1985,"Bayview Hunters Point",10
"507","3250 VAN NESS AVE",0,"Russian Hill",2
"508","1501 SUTTER ST",1920,"Japantown",5
"509","201 ALABAMA ST",0,"Mission",9
"510","417 31ST AVE",1922,"Outer Richmond",1
"511","1683 GALVEZ AVE",1993,"Bayview Hunters Point",10
"512","470 COLUMBUS AVE",1936,"North Beach",3
"513","415 OFARRELL ST",1908,"Tenderloin",5
"514","201 FILBERT ST",1984,"North Beach",3
"515","1090 EDDY ST",1929,"Western Addition",2
"516","901 CALIFORNIA ST",1971,"Nob Hill",3
