Street Address	Business Start Date	Location Start Date	DBA Name
4101 3rd St	2017-08-14	2018-10-11	Chef Boug
222 Stanyan St	2018-07-27	2018-07-27	Royal Ground Coffee/Koret Deli
1410 Millbrae Ave 104	2019-03-22	2019-03-22	King Of Thai Noodle House
634 Monterey Blvd	2017-07-24	2017-07-24	Brenda's Decadent Chocolates
1550 Howard St	2018-10-04	2018-10-04	Barnzu Di Mare
1788 Fell St Apt	2016-08-03	2016-08-03	Faultline Coffee
5169 Mission St	2019-04-04	2019-04-04	Pacita's Salvadorean Bakery And Resturaunt
620 Broadway	2016-08-02	2016-08-02	Panuchos
120 Green St	2016-11-22	2016-11-22	Chica
685 Harrison St	2019-12-20	2019-12-20	Dba Prime Roots, Dba Nirvana Kitchen
301 Clay Street 301	2017-02-02	2017-02-02	Gambinos Deli Inc
2948 Folsom St	2016-09-12	2016-09-12	Oyna Natural Foods
1871 15th Ave	2018-07-19	2018-07-19	Donald Perry
274 El Dorado Drive	2016-11-07	2016-11-07	Da Poke Man
1050 Valencia St	2018-06-08	2021-03-01	Alnico
428 11th St	2019-07-08	2019-08-13	Porkie
998 Guerrero St	2019-09-04	2019-09-04	The Liberties Bar And Restaurant
1 Mobile Caterers	2019-06-26	2019-08-21	Reef Kitchens
1919 Ocean Ave	2016-06-21	2016-06-21	Joyful Kitchen
2211 Filbert Street	2017-10-24	2017-11-10	Rooster & Rice
977 Howard St	2016-03-17	2016-03-17	A-P Bay Area Stores LLC
1737 Post St Ste 370	2018-02-28	2018-02-28	Osakaya Restaurant
127 Stevenson	2016-11-07	2016-11-07	Tequila Mockingbird
811 Stockton St	2018-01-01	2018-01-01	New Fortune Restaurant
1483 Sutter St 1401	2016-11-12	2016-11-12	Frolic Bakery
1550 Howard St	2018-10-04	2018-10-04	Sushi Ondo
4401 Balboa St	2017-07-27	2017-07-27	Feng Ze Yuan Inc.
1 Ferry Building 14a	2017-05-01	2017-05-01	Donut Farm
2077 Hayes St	2019-08-20	2019-09-18	Gochees Pizza - Katani Pizza
298 Pacific	2016-12-13	2016-12-13	Old Ship
423 Bush St	2017-09-25	2017-09-25	Subway #12181
1109 Fillmore St	2019-04-24	2019-04-24	Fillmore Chicken
2275 San Jose Ave	2016-12-01	2016-12-06	Aj's Bbq & Cafe
1355 Market St Ste 180	2019-03-25	2019-06-01	Cmb Food Group LLC
601 Mission Bay Blvd	2019-08-20	2020-10-09	Los Kuyas Catering LLC
865 Market St	2017-02-09	2017-02-09	Juice Craze
1740 Church St	2018-04-10	2018-04-10	Kenko Cater
320 Mason St	2019-04-01	2019-04-01	Mason Diner
401 Valencia St	2019-01-01	2019-01-01	Pica Pica
2760 Octavia St	2019-03-30	2022-02-01	Echigo Homecook
1441 S Stockton Street	2019-06-01	2019-06-01	Cavalli Cafe
2961 Mission St	2018-01-14	2018-01-14	The Civic Kitchen
941 Margaret St	2017-11-20	2017-11-20	Joshi & Jaffar
25 Mason St	2019-06-26	2019-08-19	Vessel Ca Operations
545 Haight St	2019-07-26	2019-07-26	Berliner Berliner
6050 Geary Blvd	2018-12-10	2018-12-10	Bambu
3230 Mission St	2017-06-16	2017-06-16	Emmys Spaghetti Shack
2069 O'farrell St.	2018-07-10	2018-07-10	A West African Coffee Company
Avenue	2017-05-24	2017-05-24	Max's Opera Cafe
1914 Irving St	2017-03-01	2017-03-01	Silver Spur
201 2nd St	2016-10-01	2016-10-01	Creperie Saint Germain
407 Ellis St	2019-01-01	2019-01-01	Sfnewa
1 Warriors Way	2019-12-17	2020-01-06	Way To Life Foods
Pier 17 The Embarcadero Rm 200	2016-01-22	2016-03-31	Curiosity Catering
4100 3rd St	2017-08-14	2017-08-21	Boug Creole Deli
3250 Van Ness Ave	2019-12-16	2019-12-16	Lifeworks @ Williams Sonoma
280 Newhall St	2016-08-08	2016-08-08	Yoray's
200 Hunter's Pt. Shipyard	2018-01-22	2018-05-15	Eclectic Cookery
1355 Market St Ste 100	2019-03-25	2022-03-01	Cabalen Mb Group LLC
1116 Grant Ave	2017-07-01	2017-07-02	Man Sung Co.
1200 Gough St 18e	2019-05-20	2019-05-20	Four Two Love Co.
5300 Mission St	2017-01-06	2019-03-14	Taqueria Los Amigos
428 11th St	2016-05-04	2018-07-03	Poke Delish
198 Miramonte Dr	2019-10-02	2019-10-02	K Five Fifty
1924 9th Ave Apt 310	2016-04-04	2016-04-04	Rain Sun Food Services
515 Ofarrell St #23	2016-07-08	2016-07-08	Madsky
350 Bush St Ste 200	2018-06-04	2018-07-05	Guckenheimer @ Twitch Breakroom Floor 9
5200 Mission St	2017-08-07	2017-08-07	London
401 Van Ness Ave	2018-07-23	2018-07-23	War Memorial Herbst Theatre
1783 Palou Ave	2019-07-26	2019-07-26	The Golden Truck
870 Market St	2019-02-06	2019-02-06	Chilifruit
1322 Grove St	2019-02-05	2019-03-05	Divisadero Cfm
3318 Carnation Ave	2018-08-10	2018-08-10	R Douglas Construction, Inc.
1638 22nd Avenue	2019-04-09	2019-04-09	Regent Thai
798 Arguello Blvd	2019-01-11	2019-01-29	Velo Rouge Cafe
2801 Jennings St	2017-03-01	2017-03-01	Kitchenina
498 Alabama St	2019-04-01	2020-10-01	Hedge Coffee
795 Valencia St	2019-09-11	2019-09-11	Gatsbysf
2520 San Bruno Ave	2016-07-13	2016-07-13	Dim Sum Kitchen Inc
1115 Clement St	2017-12-12	2017-12-12	Dnm Hot Pot
262 Divisadero St	2017-11-03	2017-11-03	Native Twins Coffee
5145 Mission St	2019-09-24	2019-09-24	Bravo Pizza
1 Mobile Caterers	2019-06-26	2019-08-21	Vessel Ca Operations #3
301 Van Ness Ave	2018-07-23	2018-07-23	War Memorial Opera House
2193 Mission St	2017-07-14	2018-12-24	Hell's Ramen
220 Bush St	2019-08-13	2019-08-13	Hi City
4787 Mission St	2019-06-17	2019-06-17	North Beach Pizza
1009 Guerrero St	2019-11-05	2019-11-05	Fenikkusu
2379 Chestnut Street St	2017-02-01	2017-02-01	Cultivar San Francisco
3515 20th St	2017-08-10	2017-08-10	Little Kite
901 Mission St	2018-01-12	2018-01-12	Fresh Made Cafe
3295 19th Street	2018-02-20	2018-02-20	Dish Lama
2261 Market St Unit 30	2017-03-04	2017-03-08	Seven Saints Superfoods
38 Teddy Ave	2019-03-19	2022-01-03	Twirl And Dip
3516 Balboa St	2019-04-17	2019-04-18	Teacup & Sandwiches
1 Market, Spear Tower St Fl 36	2017-06-06	2017-06-06	532 Market Street
2020 Kittredge St Apt 315	2018-04-03	2018-04-03	Your Way To Life Foods
5827 Geary Blvd	2018-09-19	2018-09-19	An Chi
2175 Market St	2016-03-24	2016-03-24	Noname Sushi
1055 California St Apt 3	2016-08-01	2016-08-15	Vegan Picnic
1935 Taraval St	2019-03-26	2019-03-26	Dumpling Kitchen
1123 Folsom St	2019-03-15	2019-03-15	Sf Chickenbox
1555 Mission St	2016-09-30	2016-09-30	Zaoh Restaurant
645 Irving St	2019-03-17	2019-03-17	Yifang Sunset
6438 Geary Blvd Ave Apt 308	2017-05-17	2017-05-17	Falak Biryani Palace
1000 Guerrero St	2018-05-25	2018-05-25	Kitchen Guerrero
101 Hyde St 21	2018-11-07	2020-01-27	Kayma
2379 Chestnut St	2016-03-29	2016-03-29	Cultivar
785 8th Ave	2016-10-28	2016-10-28	Rise & Grind
1829 Union St	2018-01-20	2018-01-20	Crystal Ann Ianu
50 Fremont St Fl 25/26	2017-12-27	2019-03-21	Aramark Rfs At Salesforce
811 Stockton St	2018-01-01	2018-01-01	New Fortune Dim Sum
2926 Laguna St	2018-02-01	2018-02-01	Kween
535 Green	2019-06-26	2019-09-18	Reef Kitchens
250 Divisadero St	2019-01-07	2019-01-07	Tea & Others
1510 Virginia St	2018-01-09	2018-01-09	Greek Town, LLC
1 United Nations Plz	2018-05-14	2018-05-15	Laguna Garden Bakery
4451 Mission St Unit 202	2017-08-11	2017-08-11	Bird Pepper
3322 Mission St	2019-06-03	2019-06-03	El Paisa Sf, Inc.
438 Flood Ave	2018-11-02	2018-11-02	The Boost Box
103 Horne Ave	2017-10-17	2017-11-09	J & D's Bbq
3109 24th St	2018-03-03	2018-03-03	24th And Folsom Eatery
850 Jones St	2016-12-09	2016-12-09	San Francisco Rinse
1846 48th Ave Bldg	2019-04-02	2019-04-02	Avast Bakeshop
2001 Market Street	2018-11-12	2018-11-12	Taylor Lane Organic Coffee
1298 12th Ave	2017-06-12	2017-06-12	Irving Subs
2948 Folsom St	2016-07-08	2017-08-02	Madsky
1380 Fell St Apt 2	2019-07-01	2019-07-01	Fox Hunt Events
526 Ellis St Apt 26	2019-06-01	2019-06-01	Chaitip Purnindu
3251 20th Ave	2017-08-11	2018-04-11	Obour Foods, LLC
337 Jones St	2017-01-11	2017-01-11	Lin's Kitchen
800 Van Ness Ave	2017-12-21	2023-06-12	Yasijang
746 Geary St 403	2018-07-05	2018-07-06	Tacothai
711 Geary St	2017-03-01	2023-02-23	Kokio Republic
815 Clement St	2016-09-02	2016-09-02	Tasty Pot
4054 24th St	2016-01-13	2016-01-13	The Valley Tavern
630 Sansome St	2018-11-08	2018-11-08	The Spot
162 Fairmont Ave	2019-08-01	2019-08-01	Crazy-Fusion LLC
2 Marina Blvd	2017-08-01	2017-08-01	Equator Coffees
100 Gough St	2016-02-10	2016-02-10	Baiano Pizzeria Hayes Valley
867 South Van Ness	2016-10-18	2017-05-18	Pearl Butter
4300 Redwood Hwy. Ste 100	2018-10-23	2018-10-23	Green Beans Coffee
302 Madison St	2019-07-23	2019-07-23	Nick's On Mission
355 11th St Ste 100	2016-07-26	2016-07-26	Agricole II LLC
474 3rd St	2017-11-02	2017-11-29	Chullo
2312 Market St	2019-12-17	2020-01-02	Taco Boys
699 5th St	2019-09-06	2019-11-08	Sam Choy's Poke To The Max
1661 Tennessee St Ste 3-O	2019-05-01	2019-05-01	Jackrabbit Kitchen
316 11th Street	2019-08-13	2019-08-13	Bergerac
1155 Battery St	2016-11-07	2024-03-25	Da Poke Man
125 3rd St	2016-11-30	2016-11-30	St. Regis Lobby Lounge
1740 Cesar Chavez St Unit 2w	2019-06-26	2019-07-03	Reef Kitchens
318 Kearny St	2017-03-01	2017-03-01	La Flamme
254 Jules Ave	2017-01-01	2017-01-01	Meritage
3730 Haig St Apt 3	2018-08-16	2018-08-16	Turontastic
4230 18th St	2018-03-30	2018-03-30	Bite Me Sandwiches
4063 24th St.	2018-03-08	2018-03-08	Chez Marius
478 Green St	2019-12-05	2019-12-05	Bar Escondido
550 Montgomery St Fl 10	2016-03-25	2022-06-21	The Corbeaux Lounge
75 Dore St Apt 326	2018-12-04	2018-12-04	Scotty's Louisiana Pralines
1599 Howard St	2019-04-16	2019-04-16	Howard Taps & Banh Mi Po' Boy
2370 Market Street, Ste 103, Box #434	2018-11-02	2018-11-02	2nd Parallel Coffee
1 Mobile Caterers	2019-06-26	2019-08-21	Reef Kitchens
45 Lansing St Apt 3511	2019-03-27	2019-03-27	Chicken Af
415 Mission St Fl 15/16	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
4384 Mission St	2016-04-28	2018-12-14	Tacos Y Pupusas Los Trinos
1503 15th St	2017-03-29	2017-03-29	Khamsa
144 Leland Ave	2019-01-04	2019-01-04	Mission Blue
870 Market St	2019-02-06	2024-10-28	Fruitymania2
24 Willie Mays Pl View Level Sec 311	2018-03-09	2018-03-15	95312 C & C Concessions/Portable 311 Lemonade Snack Cart
3251 20th Ave Ste 218	2019-06-22	2019-06-22	Tang Bar By Dainty
562 Green	2019-12-04	2019-12-04	Columbus Cafe
2443 Fillmore St	2017-03-13	2017-03-13	John Judicki
3380 19th St	2019-04-29	2019-04-30	Kimbara
4300 Judah St	2018-07-01	2018-07-01	Beachside 4300
530 Potrero Ave #203	2016-07-01	2016-07-01	Mama Lamees
2241 Chestnut St	2018-05-16	2018-05-16	Eddie's Bar Car
955 Larkin St	2018-06-18	2018-06-18	Ping & Yang
1474 Innes Ave	2016-06-01	2016-06-01	Cafe De La Diaspora
1740 Church St	2018-03-28	2018-03-28	Kenko: Sustainable Sushi Catering
210 Jones St	2018-03-23	2018-03-23	Grits
838 Sansome St 51	2017-01-31	2017-01-31	Nino Leonard Jt Yosinao
1799 Church St	2017-09-01	2017-09-01	Cafe Xo Noe Valley LLC
50 Fremont St	2017-12-27	2019-03-13	Aramark At Salesforce
881 Post St	2017-05-15	2022-12-21	Sammie Cafe
15500 Lorenzo Ave	2016-10-27	2016-10-27	Robert Mckinzy
1325 Lincoln Way	2018-08-08	2018-08-08	Culture Pantry, Inc.
98 Thrift St	2018-04-04	2018-04-04	Scramble SF
3463 16th St	2018-08-07	2018-08-07	Gai
800 Van Ness Ave Bldg	2017-12-21	2017-12-21	Ike's Kitchen
500 Columbus Ave	2018-06-11	2018-10-01	Captain Kona Cafe
394 Henderson Dr	2016-01-22	2016-01-22	The Waffle Roost
112 Waverly Pl	2017-05-19	2019-05-02	Irving Subs
1112 N Larkin N St Apt 403	2019-03-04	2019-03-04	Food Delivery Driver
393 Eddy St	2018-04-24	2018-06-08	Krispy Krunchy Chicken
605 Kearny St	2019-06-19	2019-06-19	Ohana Poke And Salad Bar
1890 Bryant Street St Ste 100	2017-09-29	2017-09-29	Coffee Bar
1447 Pacific	2017-05-15	2017-05-15	Kookies
834 Divisadero St	2017-08-15	2017-08-15	Theorita
126 Sutter St	2017-03-15	2017-03-15	The Meatball Bar
607 Geary Street St	2019-06-10	2019-06-10	Kinara Kitchen Inc
3251 20th Ave	2018-02-06	2018-02-06	Eggxotic
3128 16th St	2016-02-24	2017-09-13	Ushio Ramen
3414 22nd St	2019-02-19	2020-01-08	Acai R
1360 9th Ave	2018-12-21	2018-12-21	Nan King Road Bistro
2198 Market St	2019-04-15	2019-04-15	Willkommen
103 Montgomery St	2019-04-14	2019-04-14	Beans N Barbells
993 Mission St	2018-10-23	2018-10-23	The Pawn Shop
1014 Clement St	2019-12-05	2019-12-05	Diamond Coffee N Pastry
415 Mission St Fl 5/6	2017-12-27	2019-03-21	Aramark Rfs At Salesforce
1 Ferry Bldg	2016-09-29	2017-03-16	Aedan,LLC
1 Ferry Building Ste 50	2016-09-12	2017-09-20	Oyna Natural Foods
2948 Folsom St	2018-05-18	2018-05-18	Pass The Sauced, LLC
1489 Webster St Apt 710	2019-03-12	2019-05-21	Roots And Craft Tea Roasters
951 Ofarrell St 49	2019-08-22	2019-08-22	Kenny's Bar.B.Q
203 Folsom Street	2017-06-22	2017-06-22	Kikka At Woodlands Market
466 Eddy St	2016-11-11	2016-11-11	Rrosales Cmt
1 Ferry Plz Unit 3	2017-08-11	2021-08-17	Obour Foods, LLC
1600 Guerrero St	2018-04-01	2018-04-01	La Catrachita
200 6th Ave	2018-09-28	2018-10-01	Mini Fish
298 Market St	2016-09-09	2016-09-09	Seismic Coffee
63 Powell St	2016-06-01	2016-06-01	Ike's Press
268 Lowell St	2018-09-17	2018-09-17	Susan Mean
621 Kearny St	2019-07-01	2019-07-01	Good Luck Market & Deli
3299 Mission St	2018-05-31	2018-05-31	Pizzahacker
4036 Balboa Street	2019-11-09	2019-11-09	Kazoku Sushi
205 Frederick St	2017-03-26	2017-03-26	Grace & Gusto Cakes And Confections
3161 24th St	2017-02-28	2017-02-28	Foxsister
2601 46th Ave	2016-07-21	2016-07-21	Chao Yan Lee
1000 Cortland Ave	2016-08-31	2016-08-31	Skillshot Pinhall
650 Jackson St	2017-04-16	2023-02-16	Fusion Dumpling
3515 20th St	2018-10-10	2018-12-31	Yoji House
1730 Yosemite Ave	2017-10-11	2017-10-11	Greaser Coffee
3015 Mission St	2017-07-03	2017-07-03	El Aji LLC
362 Columbus Ave	2017-10-20	2019-03-12	Dba Family
147 Parnassus Ave	2018-09-02	2023-12-12	Phill's Phire Phoods
846 Geary St	2019-08-14	2019-08-14	Global Cuisine
1750 Doolittle Dr	2016-05-27	2016-05-27	Hummus Heaven
2 Marina Blvd	2018-08-06	2018-08-06	Radhaus
415 Mission St Fl 13	2016-04-15	2018-10-08	Fare Resources Inc.
699 Columbus Ave	2018-10-05	2019-06-26	Saltwater Bakeshop
115 Moncada Way	2016-10-01	2017-08-10	The Holife Inc
101 Waller St Apt 347	2018-01-03	2018-01-03	Jie Ying
601 Mission Bay N Blvd	2016-06-16	2016-06-16	Kafae Coffee, LLC
1455 Market St Unit 400	2016-07-31	2016-10-10	Uber Eats
3560 18th St	2018-11-07	2022-01-01	Epicer LLC Dba Good Good Culture Club
1350 Church St	2016-07-22	2016-07-22	Lovejoy's
2852 Diamond St	2019-05-01	2019-05-01	Pebble's Cafe SF
4 Embarcadero Ctr R4116	2016-03-17	2017-01-25	The Organic Coup
2120 Greenwich St	2019-03-20	2019-03-20	U :Dessert Story
1224 Bayside Dr C	2018-01-15	2018-01-15	Luis C. Escobar
60 Morris St Bldg	2019-09-13	2020-04-01	Palmetto Superfoods
243 Montgomery St	2019-05-01	2022-02-15	Superfine Kitchen
1527 Stockton St Fl 2	2017-03-01	2017-03-01	Liguria, LLC
2368 3rd St	2017-12-11	2017-12-11	Aura Lounge & Restaurant
399 5th St	2018-05-11	2018-05-11	Allstars Donuts
103 Horne Ave	2017-03-24	2017-03-28	Rebellion Dogs Bakery
1235 9th Ave	2017-09-14	2019-03-04	Queens SF
250 Hyde St	2018-10-12	2018-10-12	Barnzu Korean Tapas
155 Jefferson St Bldg	2017-10-30	2023-12-20	Pollo Campero
138 Noe St Apt	2018-09-02	2018-09-03	Guaclyfentertainment, LLC
2878 24th St	2018-08-15	2018-08-15	Sake Bomb
1155 4th St	2016-12-19	2018-11-26	Joe & The Juice
50 Fremont St Fl 16/17	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
1452 Franklin St	2018-11-01	2018-11-01	Klatch Coffee - SF
2436 40th Ave	2017-01-23	2017-01-23	North Border Taco
900 Grant Ave	2018-12-17	2018-12-17	Magical Ice Cream
185 Miriam St	2019-11-19	2019-11-19	Postmates
255 Jayne Ave Apt 204	2019-05-08	2019-05-08	Izakaya Mayumi
200 Clement St	2017-08-31	2017-08-31	Clement Street Farmers Market
428 11th St	2018-01-11	2018-07-19	Domingo's International Kitchen And Fusion
