inspection_score,business_name,business_address,violation_description,risk_category,sup_dist,violation_count,quarter,year,month,day
90.0,"Miette Cakes, LLC",449 Octavia St,Improper food labeling or menu misrepresentation,1,11,4,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Improper or defective plumbing,1,2,5,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Wiping cloths not clean or properly stored or inadequate sanitizer,1,4,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,High risk vermin infestation,3,4,6,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Improper food storage,1,3,4,1,2019,1,2
75.0,Lao Table,149 2nd St,Inadequately cleaned or sanitized food contact surfaces,2,10,6,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Moderate risk vermin infestation,2,2,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Improper thawing methods,2,4,6,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Improper food storage,1,3,5,1,2019,1,2
94.0,BOSTON MARKET,2300 16th St,Inadequate dressing rooms or improper storage of personal items,1,9,3,1,2019,1,2
75.0,Lao Table,149 2nd St,Moderate risk food holding temperature,2,10,6,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Moderate risk food holding temperature,2,6,7,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Unclean nonfood contact surfaces,1,2,4,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Moderate risk vermin infestation,2,6,7,1,2019,1,2
75.0,Lao Table,149 2nd St,Improper thawing methods,2,10,6,1,2019,1,2
90.0,"Miette Cakes, LLC",449 Octavia St,Improper storage use or identification of toxic substances,1,11,4,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Low risk vermin infestation,1,4,4,1,2019,1,2
94.0,SF Wraps,255 Kearny st.,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,2,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Inadequate ventilation or lighting,1,4,6,1,2019,1,2
94.0,SF Wraps,255 Kearny st.,Foods not protected from contamination,2,3,2,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Moderate risk vermin infestation,2,2,5,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Food safety certificate or food handler card not available,1,3,4,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Foods not protected from contamination,2,6,7,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Inadequate ventilation or lighting,1,3,5,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Unclean or degraded floors walls or ceilings,1,2,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Contaminated or adulterated food,3,4,6,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Low risk vermin infestation,1,3,5,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,6,7,1,2019,1,2
94.0,BOSTON MARKET,2300 16th St,Permit license or inspection report not posted,1,9,3,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Insufficient hot water or running water,2,4,4,1,2019,1,2
98.0,FRIENDS LIQUOR,1758 FILLMORE St,Improper food storage,1,11,1,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Improper food storage,1,6,7,1,2019,1,2
90.0,"Miette Cakes, LLC",449 Octavia St,Inadequate and inaccessible handwashing facilities,2,11,4,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Inadequate and inaccessible handwashing facilities,2,2,5,1,2019,1,2
75.0,Lao Table,149 2nd St,Unapproved or unmaintained equipment or utensils,1,10,6,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,No person in charge of food facility,1,2,5,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Unclean unmaintained or improperly constructed toilet facilities,1,3,4,1,2019,1,2
94.0,BOSTON MARKET,2300 16th St,Unclean or degraded floors walls or ceilings,1,9,3,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Improper storage of equipment utensils or linens,1,6,7,1,2019,1,2
86.0,Coffee Bar 1 LLC,1890 Bryant St #C,Wiping cloths not clean or properly stored or inadequate sanitizer,1,2,5,1,2019,1,2
90.0,Hard Knox Cafe,2448 Clement,Unclean or degraded floors walls or ceilings,1,4,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Inadequately cleaned or sanitized food contact surfaces,2,4,6,1,2019,1,2
78.0,Santino's Vino,2101 Fillmore St,Inadequate and inaccessible handwashing facilities,2,6,7,1,2019,1,2
90.0,"Miette Cakes, LLC",449 Octavia St,Low risk vermin infestation,1,11,4,1,2019,1,2
74.0,"PATPONG THAI CUISINE, INC.",2415 CLEMENT St,Unclean or degraded floors walls or ceilings,1,4,6,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Inadequate food safety knowledge or lack of certified food safety manager,2,3,5,1,2019,1,2
75.0,Lao Table,149 2nd St,Insufficient hot water or running water,2,10,6,1,2019,1,2
90.0,The AA Bakery & Cafe,1068 Stockton St,Inadequately cleaned or sanitized food contact surfaces,2,3,4,1,2019,1,2
88.0,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,5,1,2019,1,2
75.0,Lao Table,149 2nd St,High risk vermin infestation,3,10,6,1,2019,1,2
90.0,GGP MARKET,2948 24th St,Improper food storage,1,2,4,1,2019,1,2
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unclean or degraded floors walls or ceilings,1,8,7,1,2019,1,3
92.0,COSTCO WHOLESALE,450 10th St,Inadequately cleaned or sanitized food contact surfaces,2,10,2,1,2019,1,3
96.0,Jack In The Box #545,400 Geary St,Improper food storage,1,3,2,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Inadequate food safety knowledge or lack of certified food safety manager,2,1,6,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Improper food storage,1,1,6,1,2019,1,3
90.0,TWO JACKS SEAFOOD #2,984 GILMAN Ave,Unapproved or unmaintained equipment or utensils,1,9,4,1,2019,1,3
86.0,Dagwood & Scoops,2736 24 St,Inadequately cleaned or sanitized food contact surfaces,2,2,4,1,2019,1,3
66.0,EL FARO,82 01st St,Unapproved or unmaintained equipment or utensils,1,10,8,1,2019,1,3
96.0,Dynamo,2760 24th St,Moderate risk vermin infestation,2,2,1,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unapproved or unmaintained equipment or utensils,1,8,7,1,2019,1,3
94.0,Taboun,203 Parnassus Ave,Food safety certificate or food handler card not available,1,11,2,1,2019,1,3
87.0,Lee's Deli,615 Market St,Unclean or degraded floors walls or ceilings,1,10,3,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unclean nonfood contact surfaces,1,8,7,1,2019,1,3
92.0,COSTCO WHOLESALE,450 10th St,Foods not protected from contamination,2,10,2,1,2019,1,3
90.0,TWO JACKS SEAFOOD #2,984 GILMAN Ave,Food safety certificate or food handler card not available,1,9,4,1,2019,1,3
86.0,Dagwood & Scoops,2736 24 St,Unclean or degraded floors walls or ceilings,1,2,4,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Inadequate and inaccessible handwashing facilities,2,1,6,1,2019,1,3
96.0,Jack In The Box #545,400 Geary St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,2,1,2019,1,3
66.0,EL FARO,82 01st St,Inadequate food safety knowledge or lack of certified food safety manager,2,10,8,1,2019,1,3
66.0,EL FARO,82 01st St,Inadequate ventilation or lighting,1,10,8,1,2019,1,3
66.0,EL FARO,82 01st St,Inadequately cleaned or sanitized food contact surfaces,2,10,8,1,2019,1,3
86.0,Dagwood & Scoops,2736 24 St,Other moderate risk violation,2,2,4,1,2019,1,3
87.0,Lee's Deli,615 Market St,High risk food holding temperature,3,10,3,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Unclean or unsanitary food contact surfaces,3,1,6,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Improper thawing methods,2,8,7,1,2019,1,3
66.0,EL FARO,82 01st St,High risk vermin infestation,3,10,8,1,2019,1,3
66.0,EL FARO,82 01st St,Improper thawing methods,2,10,8,1,2019,1,3
90.0,TWO JACKS SEAFOOD #2,984 GILMAN Ave,Moderate risk food holding temperature,2,9,4,1,2019,1,3
66.0,EL FARO,82 01st St,Improper cooling methods,3,10,8,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Unclean or unsanitary food contact surfaces,3,8,7,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Unapproved or unmaintained equipment or utensils,1,1,6,1,2019,1,3
87.0,Lee's Deli,615 Market St,Inadequate food safety knowledge or lack of certified food safety manager,2,10,3,1,2019,1,3
86.0,Dagwood & Scoops,2736 24 St,Inadequate food safety knowledge or lack of certified food safety manager,2,2,4,1,2019,1,3
90.0,TWO JACKS SEAFOOD #2,984 GILMAN Ave,Improper food storage,1,9,4,1,2019,1,3
94.0,Taboun,203 Parnassus Ave,Inadequately cleaned or sanitized food contact surfaces,2,11,2,1,2019,1,3
77.0,Manila Oriental Market,4175 MISSION St,Moderate risk food holding temperature,2,1,6,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,Improper food storage,1,8,7,1,2019,1,3
74.0,NEW EMMY'S RESTAURANT,1923 OCEAN Ave,High risk food holding temperature,3,8,7,1,2019,1,3
66.0,EL FARO,82 01st St,Foods not protected from contamination,2,10,8,1,2019,1,3
100.0,SUNNY COUNTRY FOODS,1101 STANYAN St,NA,0,11,1,1,2019,1,3
100.0,STARBUCKS COFFEE #9215,350 PARNASSUS Ave,NA,0,11,1,1,2019,1,3
92.0,Silver Cafe,4300 MISSION St,Inadequate ventilation or lighting,1,1,3,1,2019,1,4
84.0,THE GROVE FILLMORE,2016 FILLMORE St,Inadequate and inaccessible handwashing facilities,2,6,6,1,2019,1,4
88.0,Salt House,2 Shaw Alley,Moderate risk food holding temperature,2,10,4,1,2019,1,4
88.0,Salt House,2 Shaw Alley,Improper storage use or identification of toxic substances,1,10,4,1,2019,1,4
84.0,THE GROVE FILLMORE,2016 FILLMORE St,Unclean or degraded floors walls or ceilings,1,6,6,1,2019,1,4
88.0,Salt House,2 Shaw Alley,Noncompliance with shell fish tags or display,2,10,4,1,2019,1,4
84.0,THE GROVE FILLMORE,2016 FILLMORE St,Moderate risk vermin infestation,2,6,6,1,2019,1,4
88.0,Salt House,2 Shaw Alley,Unclean or degraded floors walls or ceilings,1,10,4,1,2019,1,4
84.0,THE GROVE FILLMORE,2016 FILLMORE St,Improper food storage,1,6,6,1,2019,1,4
84.0,THE GROVE FILLMORE,2016 FILLMORE St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,6,6,1,2019,1,4
96.0,TRADER JOE'S,555 09th St,Improper food storage,1,10,2,1,2019,1,4
92.0,Silver Cafe,4300 MISSION St,Unapproved or unmaintained equipment or utensils,1,1,3,1,2019,1,4
84.0,THE GROVE FILLMORE,2016 FILLMORE St,Inadequate dressing rooms or improper storage of personal items,1,6,6,1,2019,1,4
92.0,Silver Cafe,4300 MISSION St,Employee eating or smoking,2,1,3,1,2019,1,4
96.0,TRADER JOE'S,555 09th St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,10,2,1,2019,1,4
86.0,Peninsula Seafood Restaurant,641 Jackson St,Unclean or degraded floors walls or ceilings,1,3,4,1,2019,1,4
96.0,Walgreens #4680,730 Market St,Inadequate and inaccessible handwashing facilities,2,3,1,1,2019,1,4
86.0,Peninsula Seafood Restaurant,641 Jackson St,Foods not protected from contamination,2,3,4,1,2019,1,4
86.0,Peninsula Seafood Restaurant,641 Jackson St,Moderate risk food holding temperature,2,3,4,1,2019,1,4
86.0,Peninsula Seafood Restaurant,641 Jackson St,Inadequate and inaccessible handwashing facilities,2,3,4,1,2019,1,4
72.0,Kam Lok Restaurant,834 Washington St,Moderate risk food holding temperature,2,3,7,1,2019,1,7
86.0,CAFE MUMS,1800 SUTTER St,Unclean or degraded floors walls or ceilings,1,11,5,1,2019,1,7
72.0,Kam Lok Restaurant,834 Washington St,Unapproved or unmaintained equipment or utensils,1,3,7,1,2019,1,7
87.0,On Lok,225 30th St,Improper storage of equipment utensils or linens,1,5,3,1,2019,1,7
84.0,ERIC'S RESTAURANT,1500 Church St,Unclean nonfood contact surfaces,1,5,6,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Improper storage use or identification of toxic substances,1,3,8,1,2019,1,7
85.0,Good Frikin Chicken,10 29th St,High risk food holding temperature,3,2,4,1,2019,1,7
84.0,ERIC'S RESTAURANT,1500 Church St,Inadequate food safety knowledge or lack of certified food safety manager,2,5,6,1,2019,1,7
86.0,CAFE MUMS,1800 SUTTER St,Foods not protected from contamination,2,11,5,1,2019,1,7
79.0,YUMMY YUMMY VIETNAMESE RESTAURANT,1015 IRVING St,Inadequate and inaccessible handwashing facilities,2,11,5,1,2019,1,7
72.0,Kam Lok Restaurant,834 Washington St,Unclean or degraded floors walls or ceilings,1,3,7,1,2019,1,7
86.0,CAFE MUMS,1800 SUTTER St,Moderate risk vermin infestation,2,11,5,1,2019,1,7
72.0,Kam Lok Restaurant,834 Washington St,Unclean hands or improper use of gloves,3,3,7,1,2019,1,7
87.0,On Lok,225 30th St,Insufficient hot water or running water,2,5,3,1,2019,1,7
85.0,Good Frikin Chicken,10 29th St,Low risk vermin infestation,1,2,4,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Improper food storage,1,3,8,1,2019,1,7
84.0,ERIC'S RESTAURANT,1500 Church St,Foods not protected from contamination,2,5,6,1,2019,1,7
79.0,YUMMY YUMMY VIETNAMESE RESTAURANT,1015 IRVING St,Improper thawing methods,2,11,5,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Moderate risk food holding temperature,2,3,8,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Inadequately cleaned or sanitized food contact surfaces,2,3,8,1,2019,1,7
72.0,Kam Lok Restaurant,834 Washington St,Unclean or unsanitary food contact surfaces,3,3,7,1,2019,1,7
79.0,YUMMY YUMMY VIETNAMESE RESTAURANT,1015 IRVING St,Moderate risk vermin infestation,2,11,5,1,2019,1,7
79.0,YUMMY YUMMY VIETNAMESE RESTAURANT,1015 IRVING St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,11,5,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Moderate risk vermin infestation,2,3,8,1,2019,1,7
84.0,ERIC'S RESTAURANT,1500 Church St,Improper storage of equipment utensils or linens,1,5,6,1,2019,1,7
85.0,Good Frikin Chicken,10 29th St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,2,4,1,2019,1,7
86.0,CAFE MUMS,1800 SUTTER St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,11,5,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Inadequate and inaccessible handwashing facilities,2,3,8,1,2019,1,7
86.0,CAFE MUMS,1800 SUTTER St,Unapproved or unmaintained equipment or utensils,1,11,5,1,2019,1,7
72.0,Kam Lok Restaurant,834 Washington St,Moderate risk vermin infestation,2,3,7,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Insufficient hot water or running water,2,3,8,1,2019,1,7
84.0,ERIC'S RESTAURANT,1500 Church St,Unapproved or unmaintained equipment or utensils,1,5,6,1,2019,1,7
79.0,YUMMY YUMMY VIETNAMESE RESTAURANT,1015 IRVING St,High risk food holding temperature,3,11,5,1,2019,1,7
87.0,On Lok,225 30th St,Improper cooling methods,3,5,3,1,2019,1,7
84.0,ERIC'S RESTAURANT,1500 Church St,Unclean or degraded floors walls or ceilings,1,5,6,1,2019,1,7
85.0,Good Frikin Chicken,10 29th St,Inadequate and inaccessible handwashing facilities,2,2,4,1,2019,1,7
74.0,Napoleon Super Bakery Corp,1049 Stockton St,Unclean or degraded floors walls or ceilings,1,3,8,1,2019,1,7
72.0,Kam Lok Restaurant,834 Washington St,Improper food storage,1,3,7,1,2019,1,7
87.0,Inay - Metreon SF,135 04th St FC-10,Unclean or degraded floors walls or ceilings,1,10,3,1,2019,1,7
87.0,Inay - Metreon SF,135 04th St FC-10,Improper cooling methods,3,10,3,1,2019,1,7
94.0,Al's Super Cafe,3286 MISSION St,Food safety certificate or food handler card not available,1,2,2,1,2019,1,7
98.0,Specialty's Cafe & Bakery,500 Howard St,Unclean or degraded floors walls or ceilings,1,10,1,1,2019,1,7
94.0,Al's Super Cafe,3286 MISSION St,Insufficient hot water or running water,2,2,2,1,2019,1,7
87.0,Inay - Metreon SF,135 04th St FC-10,Moderate risk food holding temperature,2,10,3,1,2019,1,7
84.0,LA REYNA BAKERY,3114 24th St,Unapproved or unmaintained equipment or utensils,1,2,6,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,High risk vermin infestation,3,1,9,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Inadequate food safety knowledge or lack of certified food safety manager,2,1,9,1,2019,1,8
90.0,Piraat Pizza,696 Sutter St,Moderate risk food holding temperature,2,3,3,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Unapproved or unmaintained equipment or utensils,1,1,9,1,2019,1,8
82.0,PACIFIC PLAZA CAFE,1340 FRANKLIN St,Inadequately cleaned or sanitized food contact surfaces,2,6,5,1,2019,1,8
80.0,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,High risk vermin infestation,3,11,5,1,2019,1,8
90.0,Piraat Pizza,696 Sutter St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,3,3,1,2019,1,8
80.0,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,Unclean or degraded floors walls or ceilings,1,11,5,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,High risk food holding temperature,3,1,9,1,2019,1,8
82.0,PACIFIC PLAZA CAFE,1340 FRANKLIN St,Inadequate and inaccessible handwashing facilities,2,6,5,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Unclean or degraded floors walls or ceilings,1,1,9,1,2019,1,8
84.0,LA REYNA BAKERY,3114 24th St,Unclean or degraded floors walls or ceilings,1,2,6,1,2019,1,8
84.0,LA REYNA BAKERY,3114 24th St,Inadequate food safety knowledge or lack of certified food safety manager,2,2,6,1,2019,1,8
82.0,PACIFIC PLAZA CAFE,1340 FRANKLIN St,Unclean or degraded floors walls or ceilings,1,6,5,1,2019,1,8
80.0,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,Sewage or wastewater contamination,3,11,5,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Improper food storage,1,1,9,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Improper thawing methods,2,1,9,1,2019,1,8
80.0,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,Unclean nonfood contact surfaces,1,11,5,1,2019,1,8
82.0,PACIFIC PLAZA CAFE,1340 FRANKLIN St,Foods not protected from contamination,2,6,5,1,2019,1,8
84.0,LA REYNA BAKERY,3114 24th St,Permit license or inspection report not posted,1,2,6,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Improper storage of equipment utensils or linens,1,1,9,1,2019,1,8
84.0,LA REYNA BAKERY,3114 24th St,Moderate risk vermin infestation,2,2,6,1,2019,1,8
84.0,LA REYNA BAKERY,3114 24th St,Unclean nonfood contact surfaces,1,2,6,1,2019,1,8
90.0,Piraat Pizza,696 Sutter St,Inadequate procedures or records for time as a public health control,2,3,3,1,2019,1,8
68.0,Hong Kong Bakery,4711 MISSION St,Unapproved  living quarters in food facility,1,1,9,1,2019,1,8
82.0,PACIFIC PLAZA CAFE,1340 FRANKLIN St,Moderate risk food holding temperature,2,6,5,1,2019,1,8
80.0,Popeyes Chicken & Biscuits,1426 Fillmore St Space T,Improper food storage,1,11,5,1,2019,1,8
80.0,Washington Cafe,826 Washington St,High risk vermin infestation,3,3,4,1,2019,1,8
80.0,Washington Cafe,826 Washington St,Unclean or unsanitary food contact surfaces,3,3,4,1,2019,1,8
80.0,Washington Cafe,826 Washington St,Unapproved or unmaintained equipment or utensils,1,3,4,1,2019,1,8
80.0,Washington Cafe,826 Washington St,Inadequate sewage or wastewater disposal,2,3,4,1,2019,1,8
100.0,West Portal Nutrition Center,163 West Portal Ave,NA,0,8,1,1,2019,1,8
75.0,Wok In Chinese American Food,50 MENDELL St 6,Improper cooling methods,3,9,6,1,2019,1,9
87.0,Washington Bakery & Restaurant,733 Washington St,Food safety certificate or food handler card not available,1,3,4,1,2019,1,9
84.0,Xiao Loong,250 WEST PORTAL AVENUE,Foods not protected from contamination,2,8,5,1,2019,1,9
79.0,EL BURRITO EXPRESS #2,1812 DIVISADERO St,Unclean or unsanitary food contact surfaces,3,6,6,1,2019,1,9
83.0,La Loma Produce Nos. 3 & 9 Inc,5652 MISSION St,Unclean or unsanitary food contact surfaces,3,1,4,1,2019,1,9
85.0,Bursa,60 West Portal Ave.,Improper storage of equipment utensils or linens,1,8,4,1,2019,1,9
77.0,Double Play Bar & Grill,2401 16th St,Inadequate and inaccessible handwashing facilities,2,2,6,1,2019,1,9
75.0,Wok In Chinese American Food,50 MENDELL St 6,Inadequately cleaned or sanitized food contact surfaces,2,9,6,1,2019,1,9
81.0,PHILIPPINE DELICACIES,5609 MISSION St,Improper food storage,1,1,6,1,2019,1,9
86.0,TAQUERIA EL FAROLITO,2779 MISSION St,Moderate risk food holding temperature,2,2,5,1,2019,1,9
85.0,Events Management @ de Young Museum,50 So Tea Garden Dr,Improper cooling methods,3,4,3,1,2019,1,9
77.0,Double Play Bar & Grill,2401 16th St,Unclean nonfood contact surfaces,1,2,6,1,2019,1,9
83.0,La Loma Produce Nos. 3 & 9 Inc,5652 MISSION St,Inadequate and inaccessible handwashing facilities,2,1,4,1,2019,1,9
79.0,EL BURRITO EXPRESS #2,1812 DIVISADERO St,Unclean or degraded floors walls or ceilings,1,6,6,1,2019,1,9
89.0,J & A RESTAURANT,5712 MISSION St,Unapproved or unmaintained equipment or utensils,1,1,3,1,2019,1,9
88.0,Henry's Hunan Restaurant,1708 CHURCH St,Foods not protected from contamination,2,5,4,1,2019,1,9
79.0,EL BURRITO EXPRESS #2,1812 DIVISADERO St,Inadequate food safety knowledge or lack of certified food safety manager,2,6,6,1,2019,1,9
84.0,Xiao Loong,250 WEST PORTAL AVENUE,Improper food storage,1,8,5,1,2019,1,9
83.0,La Loma Produce Nos. 3 & 9 Inc,5652 MISSION St,Unapproved or unmaintained equipment or utensils,1,1,4,1,2019,1,9
89.0,J & A RESTAURANT,5712 MISSION St,Wiping cloths not clean or properly stored or inadequate sanitizer,1,1,3,1,2019,1,9
75.0,Wok In Chinese American Food,50 MENDELL St 6,Moderate risk food holding temperature,2,9,6,1,2019,1,9
81.0,PHILIPPINE DELICACIES,5609 MISSION St,Unapproved or unmaintained equipment or utensils,1,1,6,1,2019,1,9
87.0,Washington Bakery & Restaurant,733 Washington St,High risk food holding temperature,3,3,4,1,2019,1,9
79.0,EL BURRITO EXPRESS #2,1812 DIVISADERO St,Unapproved or unmaintained equipment or utensils,1,6,6,1,2019,1,9
88.0,Henry's Hunan Restaurant,1708 CHURCH St,Inadequate ventilation or lighting,1,5,4,1,2019,1,9
77.0,Double Play Bar & Grill,2401 16th St,Moderate risk vermin infestation,2,2,6,1,2019,1,9
85.0,Events Management @ de Young Museum,50 So Tea Garden Dr,Employee eating or smoking,2,4,3,1,2019,1,9
85.0,Bursa,60 West Portal Ave.,Inadequately cleaned or sanitized food contact surfaces,2,8,4,1,2019,1,9
88.0,Henry's Hunan Restaurant,1708 CHURCH St,Unclean or degraded floors walls or ceilings,1,5,4,1,2019,1,9
81.0,PHILIPPINE DELICACIES,5609 MISSION St,Unclean or unsanitary food contact surfaces,3,1,6,1,2019,1,9
86.0,TAQUERIA EL FAROLITO,2779 MISSION St,Unclean nonfood contact surfaces,1,2,5,1,2019,1,9
89.0,J & A RESTAURANT,5712 MISSION St,High risk vermin infestation,3,1,3,1,2019,1,9
87.0,Washington Bakery & Restaurant,733 Washington St,Unclean or degraded floors walls or ceilings,1,3,4,1,2019,1,9
84.0,Xiao Loong,250 WEST PORTAL AVENUE,Unclean nonfood contact surfaces,1,8,5,1,2019,1,9
79.0,EL BURRITO EXPRESS #2,1812 DIVISADERO St,Foods not protected from contamination,2,6,6,1,2019,1,9
91.0,McDONALD'S,302 POTRERO Ave,Unapproved or unmaintained equipment or utensils,1,9,2,1,2019,1,9
83.0,La Loma Produce Nos. 3 & 9 Inc,5652 MISSION St,Moderate risk food holding temperature,2,1,4,1,2019,1,9
86.0,TAQUERIA EL FAROLITO,2779 MISSION St,Improper storage of equipment utensils or linens,1,2,5,1,2019,1,9
84.0,Xiao Loong,250 WEST PORTAL AVENUE,Improper thawing methods,2,8,5,1,2019,1,9
77.0,Double Play Bar & Grill,2401 16th St,Noncompliance with shell fish tags or display,2,2,6,1,2019,1,9
88.0,Henry's Hunan Restaurant,1708 CHURCH St,Inadequately cleaned or sanitized food contact surfaces,2,5,4,1,2019,1,9
81.0,PHILIPPINE DELICACIES,5609 MISSION St,Inadequate ventilation or lighting,1,1,6,1,2019,1,9
75.0,Wok In Chinese American Food,50 MENDELL St 6,Moderate risk vermin infestation,2,9,6,1,2019,1,9
87.0,Washington Bakery & Restaurant,733 Washington St,Low risk vermin infestation,1,3,4,1,2019,1,9
81.0,PHILIPPINE DELICACIES,5609 MISSION St,Unclean or degraded floors walls or ceilings,1,1,6,1,2019,1,9
84.0,Xiao Loong,250 WEST PORTAL AVENUE,Inadequately cleaned or sanitized food contact surfaces,2,8,5,1,2019,1,9
85.0,Bursa,60 West Portal Ave.,Improper food storage,1,8,4,1,2019,1,9
75.0,Wok In Chinese American Food,50 MENDELL St 6,Improper food storage,1,9,6,1,2019,1,9
75.0,Wok In Chinese American Food,50 MENDELL St 6,Insufficient hot water or running water,2,9,6,1,2019,1,9
77.0,Double Play Bar & Grill,2401 16th St,Unclean or unsanitary food contact surfaces,3,2,6,1,2019,1,9
85.0,Events Management @ de Young Museum,50 So Tea Garden Dr,Moderate risk food holding temperature,2,4,3,1,2019,1,9
77.0,Double Play Bar & Grill,2401 16th St,Inadequate ventilation or lighting,1,2,6,1,2019,1,9
79.0,EL BURRITO EXPRESS #2,1812 DIVISADERO St,Low risk vermin infestation,1,6,6,1,2019,1,9
85.0,Bursa,60 West Portal Ave.,Unclean hands or improper use of gloves,3,8,4,1,2019,1,9
81.0,PHILIPPINE DELICACIES,5609 MISSION St,Employee eating or smoking,2,1,6,1,2019,1,9
86.0,TAQUERIA EL FAROLITO,2779 MISSION St,Improper or defective plumbing,1,2,5,1,2019,1,9
91.0,McDONALD'S,302 POTRERO Ave,High risk food holding temperature,3,9,2,1,2019,1,9
86.0,TAQUERIA EL FAROLITO,2779 MISSION St,Inadequately cleaned or sanitized food contact surfaces,2,2,5,1,2019,1,9
96.0,The Grove-Hayes,301 Hayes St,Moderate risk food holding temperature,2,11,1,1,2019,1,9
85.0,New Woey Loy Goey Restaurant,699 Jackson St,Unclean or degraded floors walls or ceilings,1,3,4,1,2019,1,9
85.0,New Woey Loy Goey Restaurant,699 Jackson St,Moderate risk food holding temperature,2,3,4,1,2019,1,9
