Parcel Number	Building Name	Building Address	Postal Code	Floor Area	Property Type - Self Selected	PIM Link	Year Built	Energy Audit Due Date	Energy Audit Status	point	longitude	latitude	analysis_neighborhood	supervisor_district	data_as_of	data_loaded_at
0345/005	240 GOLDEN GATE AVE	240 GOLDEN GATE AVE	94102	29482	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0345/005	1907	04/01/2022	Did Not Comply	POINT (-122.414628783 37.782069195)	-122.41462878337914	37.7820691946645	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3708/097	25 JESSIE ST	25 JESSIE ST	94105	127215	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3708/097	1982			POINT (-122.398640048 37.789653133)	-122.39864004793493	37.78965313279474	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3524/066	San Francisco Costco	450 10TH ST	94103	132014	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3524/066	1994	04/01/2024	Pending - Contracted	POINT (-122.411106006 37.770487675)	-122.41110600566199	37.770487674990235	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0666/030	1603 PINE ST	1603 PINE ST	94109	524272	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0666/030	1997			POINT (-122.422955607 37.789050145)	-122.42295560651793	37.789050144592295	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
4000/053	208 PENNSYLVANIA AVE	208 PENNSYLVANIA AVE	94107	75000	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=4000/053	2000			POINT (-122.394012947 37.763462974)	-122.39401294741764	37.763462973528654	Potrero Hill	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3705/042-A	San Francisco Center	865 MARKET ST	94103	605220	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3705/042-A		04/01/2025	Upcoming	POINT (-122.407158343 37.783946923)	-122.4071583434807	37.78394692308082	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0136/007	69 GREEN ST LLC	69 GREEN ST	94111	13470	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0136/007	1986	04/01/2024	Did Not Comply	POINT (-122.400731497 37.800329299)	-122.40073149722888	37.80032929945566	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3615/023	2551 MISSION ST	2551 MISSION ST	94110	18654	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3615/023	1912	04/01/2027	Upcoming	POINT (-122.418469449 37.756255158)	-122.41846944902053	37.75625515802404	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0664/031	1760 Bush	1760 BUSH ST	94109	70835	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0664/031	1972			POINT (-122.426411776 37.788182744)	-122.42641177619745	37.78818274351542	Pacific Heights	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3780/004D	808 BRANNAN ST	808 BRANNAN ST	94103	60864	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3780/004D	1930	04/01/2027	Upcoming	POINT (-122.403742022 37.772996305)	-122.40374202192187	37.77299630474769	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
2411/001	401 TARAVAL ST	401 TARAVAL ST	94116	20400	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=2411/001	1972	04/01/2025	Upcoming	POINT (-122.470456485 37.743030912)	-122.47045648499946	37.74303091185753	West of Twin Peaks	7	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0344/010	Tenderloin Family Housing	201 TURK ST	94102	196708	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0344/010	1993			POINT (-122.412942363 37.782649022)	-122.41294236266236	37.78264902168953	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5587/003	2140 PALOU AVE	2140 PALOU AVE	94124	18003	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=5587/003	1976	04/01/2022	Did Not Comply	POINT (-122.40098857 37.740257081)	-122.40098857004273	37.74025708082683	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1780/045	Sunset Supermarket	2415 IRVING ST	94122	16138	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1780/045	1950	04/01/2020	Did Not Comply	POINT (-122.484046378 37.762999997)	-122.48404637803407	37.7629999969347	Sunset/Parkside	4	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3557/064	345 CHURCH ST	345 CHURCH ST	94114	53029	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3557/064	1983			POINT (-122.428127624 37.765550084)	-122.42812762389808	37.76555008378791	Castro/Upper Market	8	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0645/036	Larkin Pine Senior Housing	1400 PINE ST	94109	116504	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0645/036	1993			POINT (-122.419250322 37.790065015)	-122.41925032242469	37.79006501455973	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0022/010	Kimpton Alton Hotel Fisherman's Wharf	475 BEACH ST	94133	126250	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0022/010	1983	04/01/2030	Upcoming	POINT (-122.416826955 37.806738422)	-122.41682695492143	37.80673842212645	North Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3776/011	414 Brannan Street	414 BRANNAN ST	94107	19249	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3776/011	1924	04/01/2027	Upcoming	POINT (-122.394868491 37.779930779)	-122.39486849126807	37.77993077908349	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0749/002D	1310 TURK ST	1310 TURK ST	94115	56557	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0749/002D	1927			POINT (-122.430808519 37.780831157)	-122.43080851855973	37.78083115682806	Western Addition	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0317/007	Fifth Church of Christ, Scientist	450 OFARRELL ST	94102	26904	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0317/007	1923	04/01/2027	Upcoming	POINT (-122.412403233 37.786145837)	-122.41240323282045	37.786145836606536	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0779/091	988 FULTON ST	988 FULTON ST	94117	137685	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0779/091	1999			POINT (-122.432511534 37.778036082)	-122.4325115340368	37.77803608199778	Western Addition	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1058/012	10 LUPINE AVE	10 LUPINE AVE	94118	174005	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=1058/012	1957			POINT (-122.449258749 37.783949599)	-122.44925874944396	37.78394959907055	Presidio Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0287/001	251 Kearny Building	251 KEARNY ST	94108	31978	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0287/001	1908	04/01/2030	Upcoming	POINT (-122.40422921 37.790548542)	-122.404229209554	37.790548542103714	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3721/023	Adolph Gasser Retail store	181 2ND ST	94105	17500	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3721/023	1911	04/01/2029	Upcoming	POINT (-122.398362186 37.787174829)	-122.39836218583483	37.7871748287037	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
6309/004A	333 SCHWERIN ST	333 SCHWERIN ST	94134	274000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=6309/004A	1955	04/01/2020	Did Not Comply	POINT (-122.411118123 37.708785431)	-122.41111812311615	37.70878543128648	Visitacion Valley	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0696/024	Archdiocese of San Francisco Pastoral Center	9 PETER YORKE WAY	94109	47800	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0696/024	1962	04/01/2013	Did Not Comply	POINT (-122.42368549 37.785834885)	-122.42368549021036	37.78583488457873	Western Addition	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0570/031	1680 BROADWAY	1690 BROADWAY	94109	69915	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0570/031	1975			POINT (-122.424787593 37.795872077)	-122.42478759336862	37.79587207676178	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3533/007	San Francisco Friends School	250 VALENCIA ST	94103	71874	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3533/007	1907	04/01/2020	Did Not Comply	POINT (-122.422908237 37.768979027)	-122.42290823738881	37.76897902689589	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0269/028	350 Bush Street	350 Bush St	94104	470115	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0269/028	2018	04/01/2028	Upcoming	POINT (-122.40330374 37.791311485)	-122.4033037399901	37.791311484718776	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
4025/003A	Marco Fine Furniture	650 POTRERO AVE	94110	24004	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=4025/003A	1936	04/01/2020	Did Not Comply	POINT (-122.407459668 37.761174333)	-122.40745966835875	37.76117433289851	Mission	9	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3788/020	601 3RD ST	601 3RD ST	94107	14170	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3788/020	1920	04/01/2029	Upcoming	POINT (-122.393767295 37.780077189)	-122.39376729456346	37.780077189393865	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0141/003B	100 Broadway	100 BROADWAY	94111	24000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0141/003B	1927	04/01/2024	Did Not Comply	POINT (-122.400263583 37.798864081)	-122.4002635834947	37.798864080514726	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3519/067	346 9TH ST	346 9TH ST	94103	25200	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3519/067	1920	04/01/2026	Upcoming	POINT (-122.411257729 37.77312003)	-122.41125772865568	37.77312003032877	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0334/006	410 EDDY ST	410 EDDY ST	94109	59970	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0334/006	1907			POINT (-122.414603894 37.783896517)	-122.41460389397889	37.78389651680079	Tenderloin	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0548/022	2330 Polk St	2330 POLK ST	94109	21502	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0548/022	1926	04/01/2027	Upcoming	POINT (-122.421861633 37.798340709)	-122.421861632741	37.79834070944268	Russian Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3777/073	548 BRANNAN ST	548 BRANNAN ST	94107	223030	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=3777/073	2003			POINT (-122.397819969 37.77777116)	-122.39781996897611	37.77777115988512	South of Market	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0566/014A	2090 BROADWAY	2090 BROADWAY	94115	60419	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=0566/014A	1936			POINT (-122.431464923 37.795019048)	-122.43146492312863	37.795019048117176	Pacific Heights	2	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
3744/002-A	Hills Plaza I - 345 Spear Street	345 SPEAR ST	94105	578104	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=3744/002-A	1991	04/01/2029	Upcoming	POINT (-122.389757394 37.789803299)	-122.38975739444082	37.78980329858977	Financial District/South Beach	6	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0298/008	The Andrews Hotel	624 POST ST	94109	19570	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0298/008	1907	04/01/2019	Did Not Comply	POINT (-122.412285705 37.787983705)	-122.41228570464904	37.78798370545385	Nob Hill	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7381/161	208 LAKE MERCED BLVD	208 LAKE MERCED BLVD	94132	200000	Multifamily	https://sfplanninggis.org/PIM/?tab=Property&search=7381/161	1975			POINT (-122.483372966 37.713388041)	-122.48337296554314	37.71338804113943	Lakeshore	7	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
5321/051	All Hallows Community	1711 OAKDALE AVE	94124	73879	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=5321/051				POINT (-122.392706399 37.73561829)	-122.39270639901716	37.73561828993389	Bayview Hunters Point	10	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
1213/011A	2255 Hayes	2255 HAYES ST	94117	55250	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=1213/011A	1939	04/01/2020	Did Not Comply	POINT (-122.453341511 37.772730877)	-122.45334151069942	37.772730876501505	Lone Mountain/USF	5	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0294/007	220 POST ST	220 POST ST	94108	38400	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0294/007	1907	04/01/2013	Did Not Comply	POINT (-122.405715964 37.788907894)	-122.40571596397851	37.78890789449607	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
0295/008	Sir Francis Drake / Beacon Grand Hotel	432 POWELL ST	94108	252000	Commercial	https://sfplanninggis.org/PIM/?tab=Property&search=0295/008	1930	04/01/2024	Did Not Comply	POINT (-122.40822615 37.78898444)	-122.40822614970546	37.78898444018506	Financial District/South Beach	3	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
7518/036	5173 DIAMOND HEIGHTS BLVD	5173 DIAMOND HEIGHTS BLVD	94131	85928	Mixed Residential	https://sfplanninggis.org/PIM/?tab=Property&search=7518/036	1980			POINT (-122.439675956 37.745954879)	-122.43967595576694	37.74595487932272	Noe Valley	8	2025/03/10 10:44:55 AM	2025/03/10 11:04:05 AM
